*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 18:26:14:627592,Child Name:,test
2017-11-30 18:26:14:627811,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.05
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 18:26:14:627994,Reading speed:,0.05with0.05delay
2017-11-30 18:26:14:635558,On or OFF:,Face Tracking is OFF
2017-11-30 18:26:15:319009,On or OFF:,Face Tracking is ON
2017-11-30 18:26:15:822330,Robot State:,Introduce Nao Started
2017-11-30 18:26:17:219223,Instruction:,\rspd=90\ 
2017-11-30 18:26:17:719792,Robot State:,Introduce Nao Ended
2017-11-30 18:26:18:304321,On or OFF:,Face Tracking is OFF
2017-11-30 18:26:19:315195,Robot State:,Looking at The Book
2017-11-30 18:26:19:865808,Robot State:,TaskONE Selected
2017-11-30 18:26:20:874382,Robot State:,Looking at The Book
2017-11-30 18:26:21:378005,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:384701,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:384810,Current State of Reading: ,False
2017-11-30 18:26:21:391398,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:392076,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:392313,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:392578,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:392683,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:392951,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:393171,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:393269,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:393318,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:393669,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:394148,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:393907,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:394275,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:394473,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:394534,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:394920,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:395064,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:395135,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:395490,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:395711,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:396012,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:396067,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:396213,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:396612,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:396704,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:396820,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:397055,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:397230,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:397472,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:397732,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:398021,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:398064,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:398541,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:398639,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:398735,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:398835,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:399169,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:399449,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:399597,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:399863,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:400272,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:400309,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:400514,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:400715,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:400812,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:451633,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:452092,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:452250,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:566271,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:567323,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:567626,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:672001,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:673742,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:674341,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:759110,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:759700,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:759996,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:865200,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:867269,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:21:867104,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:966909,Detected ARTags: ,"83, 84"
2017-11-30 18:26:21:967836,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:21:967957,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:22:057285,Detected ARTags: ,"83, 84"
2017-11-30 18:26:22:058040,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:22:058131,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:22:152407,Detected ARTags: ,"83, 84"
2017-11-30 18:26:22:152624,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:22:152551,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:22:251921,Detected ARTags: ,"83, 84"
2017-11-30 18:26:22:252309,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:22:252470,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:22:460852,Detected ARTags: ,"83, 84"
2017-11-30 18:26:22:461764,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:22:461921,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:22:563843,Detected ARTags: ,"83, 84"
2017-11-30 18:26:22:564832,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:22:564555,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:22:665270,Detected ARTags: ,"83, 84"
2017-11-30 18:26:22:666092,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:22:666230,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:22:762981,Detected ARTags: ,"83, 84"
2017-11-30 18:26:22:763501,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:22:763580,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:22:852448,Detected ARTags: ,"83, 84"
2017-11-30 18:26:22:852966,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:22:853060,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:22:952110,Detected ARTags: ,"83, 84"
2017-11-30 18:26:22:952376,Detected ARTags: ,"[83, 84]"
2017-11-30 18:26:22:952454,Current State of Reading: ,Waiting for Red-card
2017-11-30 18:26:22:982409,Body Gesture:,Not Pointing
2017-11-30 18:26:22:985858,Robot State:,Reading Mode Started
