*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-27 14:29:17:198775,Child Name:,Child Name
2017-11-27 14:29:17:203233,On or OFF:,Face Tracking is OFF
2017-11-27 14:29:17:753438,On or OFF:,Face Tracking is ON
2017-11-27 14:29:18:756012,Robot State:,Introduce Nao Started
2017-11-27 14:29:21:380360,Robot State:,Introduce Nao Ended
2017-11-27 14:29:21:885840,On or OFF:,Face Tracking is OFF
2017-11-27 14:29:22:913095,Robot State:,Looking at The Book
2017-11-27 14:29:23:543181,Robot State:,TaskONE Selected
2017-11-27 14:29:24:576545,Robot State:,Looking at The Book
2017-11-27 14:29:25:094499,Current State of Reading: ,False
2017-11-27 14:29:25:098923,Current State of Reading: ,Waiting for Red-card
2017-11-27 14:29:26:743551,Robot State:,Reading Mode Started
2017-11-27 14:29:31:338623,Current Word:,\rspd=70\  The
2017-11-27 14:29:31:338479,Robot Hand Pose: ,"x: 0.205646932125
y: 0.0679076388478
z: 0.252911865711
x: 0.0107977474108
y: 0.298381686211
z: -0.20558206737
w: 1.0"
2017-11-27 14:29:32:735679,Robot Hand Pose: ,"x: 0.211308330297
y: 0.0587997995317
z: 0.274713248014
x: 0.00549090793356
y: 0.194951534271
z: -0.240405082703
w: 1.0"
2017-11-27 14:29:32:735858,Current Word:,\rspd=70\ new
2017-11-27 14:29:34:135787,Robot Hand Pose: ,"x: 0.209271222353
y: 0.0499947443604
z: 0.273475170135
x: 0.0143758058548
y: 0.200003609061
z: -0.282701045275
w: 1.0"
2017-11-27 14:29:34:136058,Current Word:,\rspd=70\ house		
2017-11-27 14:29:34:775315,Current Word:,\rspd=70\  and
2017-11-27 14:29:34:775471,Robot Hand Pose: ,"x: 0.205945551395
y: 0.0583737418056
z: 0.258160233498
x: 0.0124171460047
y: 0.27228859067
z: -0.247747778893
w: 1.0"
2017-11-27 14:29:36:000339,Robot Hand Pose: ,"x: 0.20663613081
y: 0.0605595000088
z: 0.258709102869
x: 0.010016143322
y: 0.269983142614
z: -0.236382141709
w: 1.0"
2017-11-27 14:29:36:001410,Current Word:,\rspd=70\ the
2017-11-27 14:29:37:239871,Current Word:,\rspd=70\ moving
2017-11-27 14:29:37:240069,Robot Hand Pose: ,"x: 0.205256730318
y: 0.0542516671121
z: 0.257879793644
x: 0.0130911618471
y: 0.273190736771
z: -0.266712278128
w: 1.0"
2017-11-27 14:29:38:477824,Robot Hand Pose: ,"x: 0.203858628869
y: 0.0469349101186
z: 0.257439106703
x: 0.0130142802373
y: 0.274327486753
z: -0.303532660007
w: 1.0"
2017-11-27 14:29:38:478631,Current Word:,\rspd=70\ van		
2017-11-27 14:29:39:913245,Robot State:,Looking at The Book
2017-11-27 14:29:43:811882,Robot State:,Looking at The Book
