*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 16:58:33:713662,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:
point
WhichPage:
Left
CorrectionState:
False




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-04 16:58:33:713836,Child Name:,test
2017-12-04 16:58:33:713915,Reading speed:,0.06with0.06delay
2017-12-04 16:58:33:719164,On or OFF:,Face Tracking is OFF
2017-12-04 16:58:34:422799,On or OFF:,Face Tracking is ON
2017-12-04 16:58:34:925998,Robot State:,Introduce Nao Started
2017-12-04 16:58:36:405674,Robot State:,Looking at The Book
2017-12-04 16:58:37:962445,Instruction:,\rspd=90\ 
2017-12-04 16:58:38:462934,Robot State:,Introduce Nao Ended
2017-12-04 16:58:38:958506,On or OFF:,Face Tracking is OFF
2017-12-04 16:58:39:965276,Robot State:,Looking at The Book
2017-12-04 16:58:40:510464,Robot State:,TaskONE Selected
2017-12-04 16:58:41:525173,Robot State:,Looking at The Book
2017-12-04 16:58:42:036456,Detected ARTags: ,"30, 31"
2017-12-04 16:58:42:057065,Detected ARTags: ,"[30, 31]"
2017-12-04 16:58:42:058425,Current State of Reading: ,False
2017-12-04 16:58:42:075038,Detected ARTags: ,"30, 31"
2017-12-04 16:58:42:076075,Detected ARTags: ,"[30, 31]"
2017-12-04 16:58:42:076144,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:58:42:077691,Detected ARTags: ,"30, 31"
2017-12-04 16:58:42:077868,Detected ARTags: ,"[30, 31]"
2017-12-04 16:58:42:078136,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:58:42:078304,Detected ARTags: ,"30, 31"
2017-12-04 16:58:42:079913,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:58:42:080078,Detected ARTags: ,"[30, 31]"
2017-12-04 16:58:42:081042,Detected ARTags: ,"30, 31"
2017-12-04 16:58:42:081192,Detected ARTags: ,"[30, 31]"
2017-12-04 16:58:42:081334,Detected ARTags: ,"30, 31"
2017-12-04 16:58:42:082171,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:58:42:083226,Detected ARTags: ,"[30, 31]"
2017-12-04 16:58:42:083463,Detected ARTags: ,"30, 31"
2017-12-04 16:58:42:084282,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:58:42:084390,Detected ARTags: ,"[30, 31]"
2017-12-04 16:58:42:084866,Detected ARTags: ,"30, 31"
2017-12-04 16:58:42:085055,Detected ARTags: ,"[30, 31]"
2017-12-04 16:58:42:085219,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:58:42:085740,Detected ARTags: ,"30, 31"
2017-12-04 16:58:42:085872,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:58:42:086348,Detected ARTags: ,"[30, 31]"
