*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 16:39:48:573692,Child Name:,Child Name
2017-11-20 16:39:48:577169,On or OFF:,Face Tracking is OFF
2017-11-20 16:39:49:263072,On or OFF:,Face Tracking is ON
2017-11-20 16:39:50:266014,Robot State:,Introduce Nao Started
2017-11-20 16:39:53:025294,Robot State:,Introduce Nao Ended
2017-11-20 16:39:53:215843,On or OFF:,Face Tracking is OFF
2017-11-20 16:39:54:237662,Robot State:,Looking at The Book
2017-11-20 16:39:54:889414,Robot State:,TaskONE Selected
2017-11-20 16:39:55:898302,Robot State:,Looking at The Book
2017-11-20 16:39:56:420281,Current State of Reading: ,False
2017-11-20 16:39:56:432142,Current State of Reading: ,Waiting for Red-card
2017-11-20 16:39:58:012050,Robot State:,Reading Mode Started
2017-11-20 16:40:02:540903,Robot Hand Pose: ,"x: 0.203260779381
y: 0.112652443349
z: 0.248001247644
x: 0.0200791526586
y: 0.328799903393
z: 0.0105945253745
w: 1.0"
2017-11-20 16:40:02:541252,Current Word:,\rspd=70\  HOOT
2017-11-20 16:40:05:341117,Robot Hand Pose: ,"x: 0.212066575885
y: 0.0903780832887
z: 0.269892185926
x: 0.000511536432896
y: 0.220179408789
z: -0.0948453396559
w: 1.0"
2017-11-20 16:40:05:341399,Current Word:,\rspd=70\ HOOT		
2017-11-20 16:40:06:343640,Robot Hand Pose: ,"x: 0.203217118979
y: 0.117990605533
z: 0.249680623412
x: 0.0104955816641
y: 0.321418851614
z: 0.0381168536842
w: 1.0"
2017-11-20 16:40:06:344170,Current Word:,\rspd=70\  Don't
2017-11-20 16:40:06:462737,Detected Cards: ,YELLOW Card Detected
2017-11-20 16:40:06:502822,Current State of Reading: ,Repeat Wrong Mode
2017-11-20 16:40:06:602444,Detected Cards: ,YELLOW Card Detected
2017-11-20 16:40:07:203160,Current State of Reading: ,Repeated Wrong Mode
2017-11-20 16:40:07:298440,Current State of Reading: ,Waiting for Red-card
2017-11-20 16:40:07:589085,Robot Hand Pose: ,"x: 0.205231115222
y: 0.119298249483
z: 0.256125509739
x: 0.0047498261556
y: 0.289703816175
z: 0.0443871095777
w: 1.0"
2017-11-20 16:40:07:590077,Current Word:,\rspd=70\ listen
2017-11-20 16:40:08:901324,Current Word:,\rspd=70\ to
2017-11-20 16:40:08:901785,Robot Hand Pose: ,"x: 0.206269562244
y: 0.111116498709
z: 0.255686551332
x: -0.0040339473635
y: 0.291005253792
z: 0.00607472239062
w: 1.0"
