*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-05 17:46:36:980809,Child Name:,test
2017-12-05 17:46:36:980655,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:

WhichPage:
Right
CorrectionState: Default=False
False




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-05 17:46:36:980934,Reading speed:,0.06with0.06delay
2017-12-05 17:46:36:986669,On or OFF:,Face Tracking is OFF
2017-12-05 17:46:36:997190,On or OFF:,Face Tracking is ON
2017-12-05 17:46:37:498931,Robot State:,Introduce Nao Started
2017-12-05 17:46:39:742438,Robot State:,Looking at The Book
2017-12-05 17:46:41:334113,Instruction:,\rspd=90\ 
2017-12-05 17:46:41:834675,Robot State:,Introduce Nao Ended
2017-12-05 17:46:41:924289,On or OFF:,Face Tracking is OFF
2017-12-05 17:46:42:945485,Robot State:,Looking at The Book
2017-12-05 17:46:43:515238,Robot State:,TaskONE Selected
2017-12-05 17:46:44:524878,Robot State:,Looking at The Book
2017-12-05 17:46:45:029135,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 17:46:45:036547,Detected ARTags: ,"[ 47, 48]"
2017-12-05 17:46:45:036892,Current State of Reading: ,False
2017-12-05 17:46:45:045435,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 17:46:45:045808,Detected ARTags: ,"[ 47, 48]"
2017-12-05 17:46:45:046272,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 17:46:45:046610,Detected ARTags: ,"[ 47, 48]"
2017-12-05 17:46:45:046492,Current State of Reading: ,Waiting for Red-card
2017-12-05 17:46:45:047164,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 17:46:45:047589,Current State of Reading: ,Waiting for Red-card
2017-12-05 17:46:45:047773,Detected ARTags: ,"[ 47, 48]"
2017-12-05 17:46:45:047986,Detected ARTags: ,"45, 46, 47, 48"
