*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-29 20:13:55:149056,Instruction:,"NumberOfStart:
2
ChildName:
Gabriel
HandMoveSpeed:
0.09
ReadDelay:
0
ReadSpeed:
90
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-29 20:13:55:149310,Reading speed:,0.09with0.09delay
2017-11-29 20:13:55:149381,Child Name:,Gabriel
2017-11-29 20:13:55:154026,On or OFF:,Face Tracking is OFF
2017-11-29 20:13:55:712679,On or OFF:,Face Tracking is ON
2017-11-29 20:13:56:214982,Robot State:,Introduce Nao Started
2017-11-29 20:13:57:718158,Instruction:,\rspd=90\ 
2017-11-29 20:13:58:218880,Robot State:,Introduce Nao Ended
2017-11-29 20:13:58:741714,On or OFF:,Face Tracking is OFF
2017-11-29 20:13:59:768169,Robot State:,Looking at The Book
2017-11-29 20:14:00:411427,Robot State:,TaskONE Selected
2017-11-29 20:14:01:448010,Robot State:,Looking at The Book
2017-11-29 20:14:01:953096,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:963849,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:963932,Current State of Reading: ,False
2017-11-29 20:14:01:972007,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:972585,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:972286,Current State of Reading: ,Waiting for Red-card
2017-11-29 20:14:01:973268,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:973599,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:973895,Current State of Reading: ,Waiting for Red-card
2017-11-29 20:14:01:974173,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:975175,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:976022,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:975089,Current State of Reading: ,Waiting for Red-card
2017-11-29 20:14:01:976476,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:976808,Current State of Reading: ,Waiting for Red-card
2017-11-29 20:14:01:976992,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:978032,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:978810,Current State of Reading: ,Waiting for Red-card
2017-11-29 20:14:01:979304,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:979452,Current State of Reading: ,Waiting for Red-card
2017-11-29 20:14:01:980460,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:980671,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:980872,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:981250,Current State of Reading: ,Waiting for Red-card
2017-11-29 20:14:01:981936,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:982839,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:983481,Current State of Reading: ,Waiting for Red-card
2017-11-29 20:14:01:983742,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:985649,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:987619,Current State of Reading: ,Waiting for Red-card
2017-11-29 20:14:01:987504,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:992420,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:992874,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:993193,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:994135,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:993293,Current State of Reading: ,Waiting for Red-card
2017-11-29 20:14:01:995722,Detected ARTags: ,"[61, 62]"
2017-11-29 20:14:01:995638,Current State of Reading: ,Waiting for Red-card
2017-11-29 20:14:01:996160,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 20:14:01:996582,Detected ARTags: ,"[61, 62]"
