*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-28 17:28:47:142822,Child Name:,Child Name
2017-11-28 17:28:47:148262,On or OFF:,Face Tracking is OFF
2017-11-28 17:28:47:909020,On or OFF:,Face Tracking is ON
2017-11-28 17:28:48:913252,Robot State:,Introduce Nao Started
2017-11-28 17:28:51:583859,Robot State:,Introduce Nao Ended
2017-11-28 17:28:51:813707,On or OFF:,Face Tracking is OFF
2017-11-28 17:28:52:835894,Robot State:,Looking at The Book
2017-11-28 17:28:53:415368,Robot State:,TaskONE Selected
2017-11-28 17:28:54:435237,Robot State:,Looking at The Book
2017-11-28 17:28:54:952779,Current State of Reading: ,False
2017-11-28 17:28:54:959197,Current State of Reading: ,Waiting for Red-card
2017-11-28 17:28:56:536339,Robot State:,Reading Mode Started
2017-11-28 17:29:01:017589,Robot Hand Pose: ,"x: 0.185882478952
y: 0.105858132243
z: 0.212707385421
x: 0.0167029537261
y: 0.509238243103
z: -0.0239366106689
w: 1.0"
2017-11-28 17:29:01:018817,Current Word:,\rspd=70\  Everyone
2017-11-28 17:29:02:219117,Robot Hand Pose: ,"x: 0.195872530341
y: 0.0985736548901
z: 0.2292419523
x: 0.0104648079723
y: 0.420696437359
z: -0.0574959255755
w: 1.0"
2017-11-28 17:29:02:219296,Current Word:,\rspd=70\ looked
2017-11-28 17:29:03:417872,Current Word:,\rspd=70\ at
2017-11-28 17:29:03:417982,Robot Hand Pose: ,"x: 0.196005731821
y: 0.0897591412067
z: 0.229039400816
x: 0.00433794688433
y: 0.420030534267
z: -0.102699249983
w: 1.0"
2017-11-28 17:29:04:637472,Current Word:,\rspd=70\ the
2017-11-28 17:29:04:637127,Robot Hand Pose: ,"x: 0.195333302021
y: 0.0820534229279
z: 0.228082954884
x: 0.00684728659689
y: 0.423199892044
z: -0.143231704831
w: 1.0"
2017-11-28 17:29:05:839333,Robot Hand Pose: ,"x: 0.194789901376
y: 0.0740940868855
z: 0.22869259119
x: 0.0099148452282
y: 0.418695509434
z: -0.183132901788
w: 1.0"
2017-11-28 17:29:05:839636,Current Word:,\rspd=70\ box		
2017-11-28 17:29:06:658856,Robot Hand Pose: ,"x: 0.18788485229
y: 0.0914690494537
z: 0.215312540531
x: 0.0116886021569
y: 0.491804778576
z: -0.0976186469197
w: 1.0"
2017-11-28 17:29:06:659829,Current Word:,\rspd=70\ Mum
2017-11-28 17:29:08:377531,Robot Hand Pose: ,"x: 0.189314484596
y: 0.0908075720072
z: 0.217976897955
x: 0.00690038502216
y: 0.477463304996
z: -0.100616529584
w: 1.0"
2017-11-28 17:29:08:377835,Current Word:,\rspd=70\ opened
2017-11-28 17:29:10:058681,Current Word:,\rspd=70\ it 
2017-11-28 17:29:10:058779,Robot Hand Pose: ,"x: 0.189401611686
y: 0.0777571797371
z: 0.2184830755
x: 0.0131232272834
y: 0.471990257502
z: -0.169191420078
w: 1.0"
2017-11-28 17:29:11:476207,Robot State:,Looking at The Book
2017-11-28 17:29:15:256173,Robot State:,Looking at The Book
2017-11-28 17:29:26:182403,Detected Cards: ,RED Card Detected
2017-11-28 17:29:26:205007,Current State of Reading: ,Correcting Mode
2017-11-28 17:29:26:205232,Detected Cards: ,RED Card Detected
2017-11-28 17:29:26:213602,Robot State:,Reaction Mode Started
2017-11-28 17:29:38:834842,Robot State:,Looking at The Book
2017-11-28 17:29:39:387020,Robot State:,Reaction Mode Ended
2017-11-28 17:29:39:618410,Current State of Reading: ,Waiting for Green-card
2017-11-28 17:29:41:257363,Robot State:,Reading Mode Started
2017-11-28 17:29:45:057235,Robot Hand Pose: ,"x: 0.185073763132
y: 0.105028286576
z: 0.21150252223
x: -0.0101634673774
y: 0.515624761581
z: -0.0277003869414
w: 1.0"
2017-11-28 17:29:45:057685,Current Word:,\rspd=70\  Everyone
2017-11-28 17:29:46:298031,Robot Hand Pose: ,"x: 0.196546301246
y: 0.0992770418525
z: 0.230741873384
x: 0.00123771501239
y: 0.413067311049
z: -0.0539843402803
w: 1.0"
2017-11-28 17:29:46:297926,Current Word:,\rspd=70\ looked
2017-11-28 17:29:47:557545,Robot Hand Pose: ,"x: 0.196764424443
y: 0.0904969274998
z: 0.231030493975
x: 0.00455852691084
y: 0.410103410482
z: -0.0973633006215
w: 1.0"
2017-11-28 17:29:47:557785,Current Word:,\rspd=70\ at
2017-11-28 17:29:48:797107,Robot Hand Pose: ,"x: 0.196877971292
y: 0.0820455774665
z: 0.231044858694
x: 0.00868302024901
y: 0.408354669809
z: -0.140916645527
w: 1.0"
2017-11-28 17:29:48:798056,Current Word:,\rspd=70\ the
2017-11-28 17:29:50:077459,Robot Hand Pose: ,"x: 0.196736976504
y: 0.0742469280958
z: 0.232100605965
x: 0.0120869092643
y: 0.401504695415
z: -0.18070910871
w: 1.0"
2017-11-28 17:29:50:078364,Current Word:,\rspd=70\ box		
2017-11-28 17:29:50:939679,Current Word:,\rspd=70\ Mum
2017-11-28 17:29:50:939835,Robot Hand Pose: ,"x: 0.188457563519
y: 0.0924445316195
z: 0.215833097696
x: 0.0127469003201
y: 0.489205300808
z: -0.0922408625484
w: 1.0"
2017-11-28 17:29:52:656145,Current Word:,\rspd=70\ opened
2017-11-28 17:29:52:656268,Robot Hand Pose: ,"x: 0.190592080355
y: 0.090168133378
z: 0.220066308975
x: 0.00634176516905
y: 0.46654099226
z: -0.101819843054
w: 1.0"
2017-11-28 17:29:54:337548,Robot Hand Pose: ,"x: 0.190336480737
y: 0.0778702124953
z: 0.219822078943
x: 0.0120445368811
y: 0.464992851019
z: -0.167173475027
w: 1.0"
2017-11-28 17:29:54:338509,Current Word:,\rspd=70\ it 
2017-11-28 17:29:55:774143,Robot State:,Looking at The Book
2017-11-28 17:29:59:554081,Robot State:,Looking at The Book
2017-11-28 17:30:39:103731,Current State of Reading: ,False
2017-11-28 17:30:39:204295,Current State of Reading: ,Waiting for Red-card
2017-11-28 17:30:40:718277,Robot State:,Reading Mode Started
2017-11-28 17:30:45:417127,Robot Hand Pose: ,"x: 0.200436547399
y: 0.108414463699
z: 0.239726573229
x: 0.0199638456106
y: 0.369341224432
z: -0.00971483439207
w: 1.0"
2017-11-28 17:30:45:418492,Current Word:,\rspd=70\  Chip
2017-11-28 17:30:46:615624,Current Word:,\rspd=70\ wanted
2017-11-28 17:30:46:615114,Robot Hand Pose: ,"x: 0.209801271558
y: 0.101849377155
z: 0.262535005808
x: 0.0141324289143
y: 0.256302237511
z: -0.0379619896412
w: 1.0"
2017-11-28 17:30:47:846844,Robot Hand Pose: ,"x: 0.210064291954
y: 0.0930522680283
z: 0.263146549463
x: 0.0030673565343
y: 0.252573639154
z: -0.0789432302117
w: 1.0"
2017-11-28 17:30:47:847160,Current Word:,\rspd=70\ the
2017-11-28 17:30:49:075624,Current Word:,\rspd=70\ box	 	
2017-11-28 17:30:49:075539,Robot Hand Pose: ,"x: 0.210066363215
y: 0.0850848779082
z: 0.263388067484
x: 0.00139129394665
y: 0.250519067049
z: -0.116913504899
w: 1.0"
2017-11-28 17:30:50:153119,Robot Hand Pose: ,"x: 0.187192946672
y: 0.103409327567
z: 0.214653283358
x: 0.0109069067985
y: 0.498026162386
z: -0.0331181436777
w: 1.0"
2017-11-28 17:30:50:153276,Current Word:,\rspd=70\  He
2017-11-28 17:30:51:135795,Current Word:,\rspd=70\ put
2017-11-28 17:30:51:135609,Robot Hand Pose: ,"x: 0.186217427254
y: 0.104736596346
z: 0.213329017162
x: 0.00937157776207
y: 0.505439758301
z: -0.02607482858
w: 1.0"
2017-11-28 17:30:52:114408,Robot Hand Pose: ,"x: 0.186565846205
y: 0.0997996777296
z: 0.213013187051
x: 0.00250346492976
y: 0.50588709116
z: -0.0526067987084
w: 1.0"
2017-11-28 17:30:52:114910,Current Word:,\rspd=70\ it
2017-11-28 17:30:53:115435,Robot Hand Pose: ,"x: 0.186588078737
y: 0.0935598909855
z: 0.21298378706
x: 0.00227724947035
y: 0.504710674286
z: -0.0855372175574
w: 1.0"
2017-11-28 17:30:53:115563,Current Word:,\rspd=70\ in
2017-11-28 17:30:54:094058,Robot Hand Pose: ,"x: 0.186551898718
y: 0.087386906147
z: 0.21280670166
x: 0.00614799046889
y: 0.504165291786
z: -0.118854239583
w: 1.0"
2017-11-28 17:30:54:094303,Current Word:,\rspd=70\ his
2017-11-28 17:30:55:075519,Current Word:,\rspd=70\ room
2017-11-28 17:30:55:075389,Robot Hand Pose: ,"x: 0.186336696148
y: 0.0822476521134
z: 0.212923780084
x: 0.00959547515959
y: 0.502173304558
z: -0.146764755249
w: 1.0"
2017-11-28 17:30:56:492247,Robot State:,Looking at The Book
2017-11-28 17:31:00:312912,Robot State:,Looking at The Book
2017-11-28 17:31:07:118199,Current State of Reading: ,False
2017-11-28 17:31:07:209069,Current State of Reading: ,Waiting for Red-card
2017-11-28 17:31:08:747966,Robot State:,Reading Mode Started
2017-11-28 17:31:13:617553,Current Word:,\rspd=70\  The
2017-11-28 17:31:13:617721,Robot Hand Pose: ,"x: 0.206101551652
y: 0.0758227109909
z: 0.252917617559
x: 0.0129499221221
y: 0.299573868513
z: -0.167013570666
w: 1.0"
2017-11-28 17:31:15:275400,Robot Hand Pose: ,"x: 0.211689129472
y: 0.0650659948587
z: 0.273399710655
x: 0.00546713359654
y: 0.20172509551
z: -0.210710689425
w: 1.0"
2017-11-28 17:31:15:275631,Current Word:,\rspd=70\ camcorder 
2017-11-28 17:31:16:690913,Robot State:,Looking at The Book
2017-11-28 17:31:19:991415,Robot State:,Looking at The Book
2017-11-28 17:31:23:500519,Current State of Reading: ,False
2017-11-28 17:31:23:600631,Current State of Reading: ,Waiting for Red-card
2017-11-28 17:31:25:126991,Robot State:,Reading Mode Started
2017-11-28 17:31:29:194967,Current Word:,\rspd=70\  Dad
2017-11-28 17:31:29:195333,Robot Hand Pose: ,"x: 0.183081686497
y: 0.0714433267713
z: 0.208157852292
x: 0.0186025872827
y: 0.524835169315
z: -0.212172597647
w: 1.0"
2017-11-28 17:31:30:534761,Robot Hand Pose: ,"x: 0.193054735661
y: 0.0621681772172
z: 0.226979419589
x: 0.0160816460848
y: 0.425015568733
z: -0.244537934661
w: 1.0"
2017-11-28 17:31:30:535255,Current Word:,\rspd=70\ bought
2017-11-28 17:31:31:873721,Robot Hand Pose: ,"x: 0.191637814045
y: 0.053899217397
z: 0.226959705353
x: 0.0191127248108
y: 0.423392504454
z: -0.288173347712
w: 1.0"
2017-11-28 17:31:31:874934,Current Word:,\rspd=70\ a
2017-11-28 17:31:33:194827,Robot Hand Pose: ,"x: 0.189786791801
y: 0.0458377078176
z: 0.226535499096
x: 0.0157027579844
y: 0.423824191093
z: -0.330510258675
w: 1.0"
2017-11-28 17:31:33:195758,Current Word:,\rspd=70\ camcorder
2017-11-28 17:31:34:630940,Robot State:,Looking at The Book
2017-11-28 17:31:37:730699,Robot State:,Looking at The Book
2017-11-28 17:31:37:904816,Current State of Reading: ,False
2017-11-28 17:31:38:002034,Current State of Reading: ,Waiting for Red-card
2017-11-28 17:31:39:763841,Robot State:,Reading Mode Started
2017-11-28 17:31:44:034041,Robot Hand Pose: ,"x: 0.189990580082
y: 0.072118550539
z: 0.218968585134
x: 0.0180507265031
y: 0.468056112528
z: -0.198721185327
w: 1.0"
2017-11-28 17:31:44:033907,Current Word:,\rspd=70\  The
2017-11-28 17:31:45:193694,Robot Hand Pose: ,"x: 0.198201313615
y: 0.0655521899462
z: 0.235945433378
x: 0.0131917707622
y: 0.380697757006
z: -0.222845748067
w: 1.0"
2017-11-28 17:31:45:193805,Current Word:,\rspd=70\ children
2017-11-28 17:31:46:357928,Robot Hand Pose: ,"x: 0.197592705488
y: 0.058770827949
z: 0.237112417817
x: 0.0166534055024
y: 0.373928546906
z: -0.255404263735
w: 1.0"
2017-11-28 17:31:46:358784,Current Word:,\rspd=70\ had
2017-11-28 17:31:47:494130,Robot Hand Pose: ,"x: 0.195923954248
y: 0.0522092357278
z: 0.23622636497
x: 0.0188574511558
y: 0.376944303513
z: -0.290337622166
w: 1.0"
2017-11-28 17:31:47:494686,Current Word:,\rspd=70\ a
2017-11-28 17:31:48:652808,Robot Hand Pose: ,"x: 0.194480508566
y: 0.0450633019209
z: 0.236295551062
x: 0.017659291625
y: 0.375429034233
z: -0.326492011547
w: 1.0"
2017-11-28 17:31:48:653249,Current Word:,\rspd=70\ race 		
2017-11-28 17:31:49:415817,Current Word:,\rspd=70\ Dad
2017-11-28 17:31:49:415291,Robot Hand Pose: ,"x: 0.186216890812
y: 0.0609287582338
z: 0.215401947498
x: 0.0268271211535
y: 0.484098345041
z: -0.260518759489
w: 1.0"
2017-11-28 17:31:50:763684,Current Word:,\rspd=70\ made
2017-11-28 17:31:50:764216,Robot Hand Pose: ,"x: 0.187815070152
y: 0.0623234175146
z: 0.218180239201
x: 0.0231387540698
y: 0.470019489527
z: -0.250192463398
w: 1.0"
2017-11-28 17:31:52:154399,Robot Hand Pose: ,"x: 0.186177015305
y: 0.053302295506
z: 0.218061670661
x: 0.0202612560242
y: 0.468493372202
z: -0.298593312502
w: 1.0"
2017-11-28 17:31:52:154818,Current Word:,\rspd=70\ a
