*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 17:08:55:899950,Child Name:,Child Name
2017-11-20 17:08:55:934583,On or OFF:,Face Tracking is OFF
2017-11-20 17:08:56:796523,On or OFF:,Face Tracking is ON
2017-11-20 17:08:57:800229,Robot State:,Introduce Nao Started
2017-11-20 17:09:00:384421,Robot State:,Introduce Nao Ended
2017-11-20 17:09:00:913194,On or OFF:,Face Tracking is OFF
2017-11-20 17:09:01:942263,Robot State:,Looking at The Book
2017-11-20 17:09:02:490086,Robot State:,TaskONE Selected
2017-11-20 17:09:03:499943,Robot State:,Looking at The Book
2017-11-20 17:09:04:024524,Current State of Reading: ,False
2017-11-20 17:09:04:032154,Current State of Reading: ,Waiting for Red-card
2017-11-20 17:09:05:616323,Robot State:,Reading Mode Started
2017-11-20 17:09:10:144919,Robot Hand Pose: ,"x: 0.204069465399
y: 0.112471118569
z: 0.249478697777
x: 0.0182273704559
y: 0.321419864893
z: 0.0102428374812
w: 1.0"
2017-11-20 17:09:10:145088,Current Word:,\rspd=70\  HOOT
2017-11-20 17:09:12:943994,Robot Hand Pose: ,"x: 0.212473168969
y: 0.0907434374094
z: 0.270975023508
x: 0.00383772328496
y: 0.215392187238
z: -0.0916014015675
w: 1.0"
2017-11-20 17:09:12:943923,Current Word:,\rspd=70\ HOOT		
2017-11-20 17:09:13:943582,Robot Hand Pose: ,"x: 0.203032016754
y: 0.118418030441
z: 0.249721392989
x: 0.0127689419314
y: 0.321245223284
z: 0.0410155020654
w: 1.0"
2017-11-20 17:09:13:943728,Current Word:,\rspd=70\  Don't
2017-11-20 17:09:15:203202,Robot Hand Pose: ,"x: 0.205122202635
y: 0.119697295129
z: 0.255730479956
x: 0.0061682225205
y: 0.291902750731
z: 0.0477265380323
w: 1.0"
2017-11-20 17:09:15:203812,Current Word:,\rspd=70\ listen
2017-11-20 17:09:16:526747,Robot Hand Pose: ,"x: 0.206125661731
y: 0.111918769777
z: 0.255618214607
x: -0.0019963181112
y: 0.291340142488
z: 0.00944483373314
w: 1.0"
2017-11-20 17:09:16:527670,Current Word:,\rspd=70\ to
2017-11-20 17:09:17:862429,Robot Hand Pose: ,"x: 0.206769526005
y: 0.102689318359
z: 0.255233436823
x: 0.000589600822423
y: 0.292028278112
z: -0.0354059152305
w: 1.0"
2017-11-20 17:09:17:863584,Current Word:,\rspd=70\ that
2017-11-20 17:09:19:184518,Robot Hand Pose: ,"x: 0.207391083241
y: 0.0931617021561
z: 0.255848228931
x: 0.00279299193062
y: 0.287748277187
z: -0.0818995982409
w: 1.0"
2017-11-20 17:09:19:185046,Current Word:,\rspd=70\ tiny
2017-11-20 17:09:20:502565,Robot Hand Pose: ,"x: 0.207298576832
y: 0.0839785039425
z: 0.25532501936
x: 0.00814054533839
y: 0.289019882679
z: -0.126803144813
w: 1.0"
2017-11-20 17:09:20:502727,Current Word:,\rspd=70\ little
