*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-29 15:45:51:289561,Child Name:,Gabriel
2017-11-29 15:45:51:289842,Reading speed:,0.05with0.05delay
2017-11-29 15:45:51:293541,On or OFF:,Face Tracking is OFF
2017-11-29 15:45:51:958843,On or OFF:,Face Tracking is ON
2017-11-29 15:45:52:460351,Robot State:,Introduce Nao Started
2017-11-29 15:45:54:330615,Robot State:,Introduce Nao Ended
2017-11-29 15:45:54:870564,On or OFF:,Face Tracking is OFF
2017-11-29 15:45:55:881651,Robot State:,Looking at The Book
2017-11-29 15:45:56:471740,Robot State:,TaskONE Selected
2017-11-29 15:45:57:509957,Robot State:,Looking at The Book
2017-11-29 15:45:58:013111,Detected ARTags: ,"32, 33"
2017-11-29 15:45:58:018548,Detected ARTags: ,"[32, 33]"
2017-11-29 15:45:58:018629,Current State of Reading: ,False
2017-11-29 15:45:58:023609,Detected ARTags: ,"32, 33"
2017-11-29 15:45:58:024016,Detected ARTags: ,"[32, 33]"
2017-11-29 15:45:58:024412,Detected ARTags: ,"32, 33"
2017-11-29 15:45:58:024475,Current State of Reading: ,Waiting for Red-card
2017-11-29 15:45:58:025256,Detected ARTags: ,"[32, 33]"
2017-11-29 15:45:58:025881,Current State of Reading: ,Waiting for Red-card
2017-11-29 15:45:58:026633,Detected ARTags: ,"32, 33"
2017-11-29 15:45:58:028048,Detected ARTags: ,"[32, 33]"
2017-11-29 15:45:58:028194,Current State of Reading: ,Waiting for Red-card
2017-11-29 15:45:58:029150,Detected ARTags: ,"32, 33"
2017-11-29 15:45:58:032899,Current State of Reading: ,Waiting for Red-card
2017-11-29 15:45:58:032576,Detected ARTags: ,"[32, 33]"
2017-11-29 15:45:58:033848,Detected ARTags: ,"32, 33"
2017-11-29 15:45:58:034087,Detected ARTags: ,"[32, 33]"
2017-11-29 15:45:58:034678,Current State of Reading: ,Waiting for Red-card
2017-11-29 15:45:58:035049,Detected ARTags: ,"32, 33"
2017-11-29 15:45:58:035614,Detected ARTags: ,"[32, 33]"
2017-11-29 15:45:58:035891,Current State of Reading: ,Waiting for Red-card
2017-11-29 15:45:58:036321,Detected ARTags: ,"32, 33"
2017-11-29 15:45:58:036669,Detected ARTags: ,"[32, 33]"
2017-11-29 15:45:58:036874,Current State of Reading: ,Waiting for Red-card
2017-11-29 15:45:58:037056,Detected ARTags: ,"32, 33"
2017-11-29 15:45:58:037680,Detected ARTags: ,"[32, 33]"
2017-11-29 15:45:58:037831,Current State of Reading: ,Waiting for Red-card
2017-11-29 15:45:58:037995,Detected ARTags: ,"32, 33"
2017-11-29 15:45:58:038435,Detected ARTags: ,"[32, 33]"
2017-11-29 15:45:58:038609,Current State of Reading: ,Waiting for Red-card
2017-11-29 15:45:58:039172,Detected ARTags: ,"32, 33"
2017-11-29 15:45:58:039545,Current State of Reading: ,Waiting for Red-card
2017-11-29 15:45:58:039243,Detected ARTags: ,"[32, 33]"
