*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-01 09:37:23:293863,Child Name:,Daria
2017-12-01 09:37:23:294292,Instruction:,"NumberOfStart:
2
ChildName:
Daria
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:
point



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-01 09:37:23:294096,Reading speed:,0.06with0.06delay
2017-12-01 09:37:23:298234,On or OFF:,Face Tracking is OFF
2017-12-01 09:37:23:883881,On or OFF:,Face Tracking is ON
2017-12-01 09:37:24:387003,Robot State:,Introduce Nao Started
