*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 09:01:07:009887,Child Name:,Muhammad
2017-11-30 09:01:07:010074,Reading speed:,0.06with0.06delay
2017-11-30 09:01:07:009828,Instruction:,"NumberOfStart:
2
ChildName:
Muhammad
HandMoveSpeed:
0.06
ReadDelay:
0.08
ReadSpeed:
70
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 09:01:16:462765,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:16:559308,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:16:560808,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:16:561026,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:16:658683,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:16:658910,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:16:761678,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:16:762019,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:16:762157,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:16:850005,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:16:850737,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:16:850865,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:17:160197,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:17:161194,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:17:161030,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:17:658117,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:17:659872,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:17:659692,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:17:759031,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:17:760053,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:17:760285,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:17:859924,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:17:861306,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:17:861637,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:18:558448,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:18:559749,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:18:559962,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:18:757861,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:18:759575,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:18:759828,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:18:854799,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:18:855842,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:18:855975,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:18:958027,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:18:958809,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:18:959056,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:19:056180,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:19:056866,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:19:057003,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:19:158013,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:19:159819,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:19:160427,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:19:361007,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:19:362754,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:19:362956,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:19:461451,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:19:463191,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:19:463475,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:19:552106,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:19:552881,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:19:553126,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:19:581048,Robot Hand Pose: ,"x: 0.1872305125
y: 0.117895774543
z: 0.216119974852
x: 0.0111576924101
y: 0.494504988194
z: 0.0423764064908
w: 1.0"
2017-11-30 09:01:19:582593,Current Word:,\rspd=70\  Nadim
2017-11-30 09:01:19:666821,Robot State:,0.08
2017-11-30 09:01:19:755709,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:19:757210,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:19:757494,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:19:951634,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:19:952073,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:19:951978,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:20:047391,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:20:047880,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:20:047994,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:20:163941,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:20:164798,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:20:165068,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:20:359430,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:20:361212,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:20:361480,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:20:556570,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:20:557682,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:20:557511,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:20:657535,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:20:658291,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:20:658513,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:20:821508,Robot Hand Pose: ,"x: 0.197871372104
y: 0.112453453243
z: 0.234781563282
x: 0.0079302880913
y: 0.395690888166
z: 0.0163019243628
w: 1.0"
2017-11-30 09:01:20:822711,Current Word:,\rspd=70\ came
2017-11-30 09:01:20:859691,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:20:860537,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:20:860673,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:20:905163,Robot State:,0.08
2017-11-30 09:01:21:057723,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:21:059111,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:21:058801,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:21:149395,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:21:150094,Current State of Reading: ,Waiting for Red-card
