*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 17:41:17:658037,Child Name:,Child Name
2017-11-20 17:41:17:662106,On or OFF:,Face Tracking is OFF
2017-11-20 17:41:18:392297,On or OFF:,Face Tracking is ON
2017-11-20 17:41:19:395861,Robot State:,Introduce Nao Started
2017-11-20 17:41:23:268654,Robot State:,Introduce Nao Ended
2017-11-20 17:41:23:767979,On or OFF:,Face Tracking is OFF
2017-11-20 17:41:24:780832,Robot State:,Looking at The Book
2017-11-20 17:41:25:414134,Robot State:,TaskONE Selected
2017-11-20 17:41:26:443951,Robot State:,Looking at The Book
2017-11-20 17:41:26:961893,Current State of Reading: ,False
2017-11-20 17:41:26:968229,Current State of Reading: ,Waiting for Red-card
2017-11-20 17:41:28:755424,Robot State:,Reading Mode Started
2017-11-20 17:41:33:307589,Robot Hand Pose: ,"x: 0.204979583621
y: 0.110232777894
z: 0.251168698072
x: 0.0195461176336
y: 0.312737196684
z: 8.20537170512e-05
w: 1.0"
2017-11-20 17:41:33:307785,Current Word:,\rspd=70\  HOOT
2017-11-20 17:41:36:043012,Robot Hand Pose: ,"x: 0.211961895227
y: 0.0881647765636
z: 0.269161313772
x: 0.00203061802313
y: 0.22366964817
z: -0.102596968412
w: 1.0"
2017-11-20 17:41:36:043452,Current Word:,\rspd=70\ HOOT		
2017-11-20 17:41:37:023137,Robot Hand Pose: ,"x: 0.203617602587
y: 0.115823283792
z: 0.250231474638
x: 0.0137095097452
y: 0.31824657321
z: 0.0296525862068
w: 1.0"
2017-11-20 17:41:37:023397,Current Word:,\rspd=70\  Don't
2017-11-20 17:41:38:285018,Robot Hand Pose: ,"x: 0.204898312688
y: 0.116973891854
z: 0.254063457251
x: 0.00894626509398
y: 0.299592137337
z: 0.0354353412986
w: 1.0"
2017-11-20 17:41:38:285650,Current Word:,\rspd=70\ listen
2017-11-20 17:41:39:541799,Robot Hand Pose: ,"x: 0.206322878599
y: 0.109273143113
z: 0.255524426699
x: -0.000441224226961
y: 0.291436463594
z: -0.00171371200122
w: 1.0"
2017-11-20 17:41:39:542351,Current Word:,\rspd=70\ to
2017-11-20 17:41:40:806125,Current Word:,\rspd=70\ that
2017-11-20 17:41:40:806595,Robot Hand Pose: ,"x: 0.207466751337
y: 0.100321210921
z: 0.256399035454
x: -0.000346921384335
y: 0.28603425622
z: -0.0451465658844
w: 1.0"
2017-11-20 17:41:42:087934,Current Word:,\rspd=70\ tiny
2017-11-20 17:41:42:088007,Robot Hand Pose: ,"x: 0.207713291049
y: 0.0910780876875
z: 0.256422609091
x: 0.00210812478326
y: 0.284615218639
z: -0.0901343747973
w: 1.0"
2017-11-20 17:41:43:362829,Robot Hand Pose: ,"x: 0.20757958293
y: 0.0822821706533
z: 0.256566107273
x: 0.00415580812842
y: 0.28286036849
z: -0.133046522737
w: 1.0"
2017-11-20 17:41:43:363167,Current Word:,\rspd=70\ little
2017-11-20 17:41:44:684731,Robot Hand Pose: ,"x: 0.207649201155
y: 0.0730022937059
z: 0.257712423801
x: 0.00823284406215
y: 0.276315420866
z: -0.177636578679
w: 1.0"
2017-11-20 17:41:44:685876,Current Word:,\rspd=70\  rabbit 			
2017-11-20 17:41:46:024470,Robot Hand Pose: ,"x: 0.199186190963
y: 0.118254519999
z: 0.240280866623
x: 0.0103381713852
y: 0.368263840675
z: 0.0429057590663
w: 1.0"
2017-11-20 17:41:46:025598,Current Word:,\rspd=70\  I am
2017-11-20 17:41:46:638001,Detected Cards: ,RED Card Detected
2017-11-20 17:41:46:715465,Current State of Reading: ,Correcting Mode
2017-11-20 17:41:46:736926,Robot State:,Reaction Mode Started
2017-11-20 17:41:46:883945,Detected Cards: ,RED Card Detected
2017-11-20 17:41:56:118231,Robot State:,Looking at The Book
2017-11-20 17:41:58:700376,Robot State:,Looking at The Book
2017-11-20 17:41:59:241809,Robot State:,Reaction Mode Ended
2017-11-20 17:41:59:490260,Current State of Reading: ,Waiting for Red-card
2017-11-20 17:42:01:255964,Robot State:,Reading Mode Started
2017-11-20 17:42:05:962379,Robot Hand Pose: ,"x: 0.205060645938
y: 0.108523584902
z: 0.251122951508
x: 0.0197993498296
y: 0.312775850296
z: -0.0093714306131
w: 1.0"
2017-11-20 17:42:05:963011,Current Word:,\rspd=70\  HOOT
2017-11-20 17:42:08:661665,Robot Hand Pose: ,"x: 0.212826833129
y: 0.0879187509418
z: 0.272430479527
x: 0.00213719322346
y: 0.20826125145
z: -0.102810047567
w: 1.0"
2017-11-20 17:42:08:661917,Current Word:,\rspd=70\ HOOT		
2017-11-20 17:42:09:640145,Robot Hand Pose: ,"x: 0.20441403985
y: 0.113491922617
z: 0.251311391592
x: 0.013076084666
y: 0.31258687377
z: 0.0180897470564
w: 1.0"
2017-11-20 17:42:09:640916,Current Word:,\rspd=70\  Don't
2017-11-20 17:42:10:881886,Robot Hand Pose: ,"x: 0.205655604601
y: 0.115343853831
z: 0.255531668663
x: 0.0124912522733
y: 0.292187720537
z: 0.0271510127932
w: 1.0"
2017-11-20 17:42:10:882218,Current Word:,\rspd=70\ listen
2017-11-20 17:42:12:130550,Current Word:,\rspd=70\ to
2017-11-20 17:42:12:130738,Robot Hand Pose: ,"x: 0.206410720944
y: 0.107206337154
z: 0.255111753941
x: 0.00287108379416
y: 0.293173462152
z: -0.0115265930071
w: 1.0"
2017-11-20 17:42:13:382026,Robot Hand Pose: ,"x: 0.207047283649
y: 0.0984499529004
z: 0.25505682826
x: 0.00265661533922
y: 0.292260766029
z: -0.0546424351633
w: 1.0"
2017-11-20 17:42:13:382881,Current Word:,\rspd=70\ that
2017-11-20 17:42:13:499512,Detected Cards: ,YELLOW Card Detected
2017-11-20 17:42:14:308873,Current State of Reading: ,Repeat Wrong Mode
2017-11-20 17:42:16:058120,Robot State:,Looking at The Book
2017-11-20 17:42:16:615522,Current State of Reading: ,Waiting for Red-card
2017-11-20 17:42:18:091353,Robot State:,Reading Mode Started
2017-11-20 17:42:22:961069,Robot Hand Pose: ,"x: 0.203322663903
y: 0.10838894546
z: 0.246560171247
x: 0.0219095163047
y: 0.335289388895
z: -0.0105608850718
w: 1.0"
2017-11-20 17:42:22:961848,Current Word:,\rspd=70\  HOOT
2017-11-20 17:42:25:640562,Robot Hand Pose: ,"x: 0.212167322636
y: 0.0871230065823
z: 0.27028003335
x: 0.0004818700545
y: 0.218294292688
z: -0.105900943279
w: 1.0"
2017-11-20 17:42:25:640992,Current Word:,\rspd=70\ HOOT		
2017-11-20 17:42:26:608493,Robot Hand Pose: ,"x: 0.204155385494
y: 0.11321669817
z: 0.250752598047
x: 0.0147655075416
y: 0.315319240093
z: 0.0180977974087
w: 1.0"
2017-11-20 17:42:26:609352,Current Word:,\rspd=70\  Don't
2017-11-20 17:42:27:882693,Robot Hand Pose: ,"x: 0.205470889807
y: 0.115309141576
z: 0.2553409338
x: 0.0110703306273
y: 0.293158710003
z: 0.0272093620151
w: 1.0"
2017-11-20 17:42:27:883718,Current Word:,\rspd=70\ listen
2017-11-20 17:42:29:167989,Robot Hand Pose: ,"x: 0.206453174353
y: 0.10750477016
z: 0.255475223064
x: 0.00176494382322
y: 0.291383951902
z: -0.009810292162
w: 1.0"
2017-11-20 17:42:29:168472,Current Word:,\rspd=70\ to
2017-11-20 17:42:30:422641,Robot Hand Pose: ,"x: 0.207102864981
y: 0.0989258512855
z: 0.255489856005
x: 0.00217181257904
y: 0.290222048759
z: -0.051454950124
w: 1.0"
2017-11-20 17:42:30:422968,Current Word:,\rspd=70\ that
2017-11-20 17:42:31:663707,Robot Hand Pose: ,"x: 0.207605808973
y: 0.0896755903959
z: 0.256142526865
x: 0.00519264582545
y: 0.285917669535
z: -0.0962439328432
w: 1.0"
2017-11-20 17:42:31:665003,Current Word:,\rspd=70\ tiny
2017-11-20 17:42:32:901738,Robot Hand Pose: ,"x: 0.207853004336
y: 0.0812488347292
z: 0.257219612598
x: 0.00806257221848
y: 0.279670238495
z: -0.137799233198
w: 1.0"
2017-11-20 17:42:32:902487,Current Word:,\rspd=70\ little
2017-11-20 17:42:34:182624,Current Word:,\rspd=70\  rabbit 			
2017-11-20 17:42:34:182740,Robot Hand Pose: ,"x: 0.207343608141
y: 0.0726646184921
z: 0.257126808167
x: 0.00412666518241
y: 0.278996706009
z: -0.179320186377
w: 1.0"
2017-11-20 17:42:35:507654,Robot Hand Pose: ,"x: 0.19937928021
y: 0.116388626397
z: 0.240140408278
x: 0.0110466452315
y: 0.368521630764
z: 0.0329217799008
w: 1.0"
2017-11-20 17:42:35:508102,Current Word:,\rspd=70\  I am
2017-11-20 17:42:36:621913,Robot Hand Pose: ,"x: 0.199463218451
y: 0.117566034198
z: 0.240906387568
x: 0.00903645530343
y: 0.365012794733
z: 0.0394911170006
w: 1.0"
2017-11-20 17:42:36:622376,Current Word:,\rspd=70\ the
2017-11-20 17:42:37:723240,Current Word:,\rspd=70\ wisest
2017-11-20 17:42:37:722831,Robot Hand Pose: ,"x: 0.199923843145
y: 0.112791128457
z: 0.24061588943
x: 0.00382331688888
y: 0.365610480309
z: 0.0164874009788
w: 1.0"
2017-11-20 17:42:38:836493,Robot Hand Pose: ,"x: 0.200505152345
y: 0.105615794659
z: 0.240175530314
x: 0.00141107989475
y: 0.366539508104
z: -0.019711913541
w: 1.0"
2017-11-20 17:42:38:836873,Current Word:,\rspd=70\ and
2017-11-20 17:42:39:921635,Current Word:,\rspd=70\ bravest
2017-11-20 17:42:39:921746,Robot Hand Pose: ,"x: 0.200842469931
y: 0.0983440950513
z: 0.239867955446
x: 0.000932684284635
y: 0.366949647665
z: -0.0557757094502
w: 1.0"
2017-11-20 17:42:41:039615,Robot Hand Pose: ,"x: 0.200968056917
y: 0.0911404713988
z: 0.239652216434
x: 0.00178476178553
y: 0.366830199957
z: -0.0918582305312
w: 1.0"
2017-11-20 17:42:41:039817,Current Word:,\rspd=70\  snake
2017-11-20 17:42:42:144492,Robot Hand Pose: ,"x: 0.200946509838
y: 0.0836136117578
z: 0.239398896694
x: 0.000288236886263
y: 0.366816967726
z: -0.129932582378
w: 1.0"
2017-11-20 17:42:42:144740,Current Word:,\rspd=70\ in
2017-11-20 17:42:43:254095,Current Word:,\rspd=70\ the
2017-11-20 17:42:43:253974,Robot Hand Pose: ,"x: 0.200464874506
y: 0.0772581547499
z: 0.239398658276
x: 0.00385307357647
y: 0.36568659544
z: -0.162553280592
w: 1.0"
2017-11-20 17:42:44:360958,Current Word:,\rspd=70\ skies.
2017-11-20 17:42:44:361091,Robot Hand Pose: ,"x: 0.200028151274
y: 0.0702298209071
z: 0.239805340767
x: 0.0041602817364
y: 0.362522751093
z: -0.196874544024
w: 1.0"
2017-11-20 17:42:45:797578,Robot State:,Looking at The Book
2017-11-20 17:42:49:678249,Robot State:,Looking at The Book
