*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 09:16:46:949057,Child Name:,Maya
2017-11-30 09:16:46:948927,Instruction:,"NumberOfStart:
2
ChildName:
Maya
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
70
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 09:16:54:965898,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:55:060185,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:55:061907,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:55:061744,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:55:154940,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:55:155868,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:55:155784,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:55:254052,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:55:254844,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:55:254949,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:55:348256,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:55:348418,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:55:348603,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:55:451442,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:55:452252,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:55:452380,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:55:555827,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:55:557117,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:55:557297,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:55:659772,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:55:660024,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:55:660214,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:55:672291,Body Gesture:,Not Pointing
2017-11-30 09:16:55:684480,Robot State:,Reading Mode Started
2017-11-30 09:16:55:684624,Current State of Correction: ,False
2017-11-30 09:16:55:761837,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:55:762878,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:55:763013,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:55:854189,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:55:854682,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:55:854831,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:55:961581,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:55:962487,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:55:962719,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:56:058694,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:56:059538,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:56:059709,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:56:160558,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:56:161727,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:56:162044,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:56:257786,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:56:258622,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:56:258774,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:56:455205,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:56:455415,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:56:455683,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:56:553621,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:56:554070,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:56:554383,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:56:748959,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:56:749285,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:56:749467,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:56:857132,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:56:858244,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:56:858346,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:56:906282,Robot Hand Pose: ,"x: 0.0986229926348
y: 0.0811332985759
z: 0.169169321656
x: -1.00523304939
y: 0.557513654232
z: -0.473123580217
w: 1.0"
2017-11-30 09:16:56:907447,Current Word:,\rspd=70\  Wilf
2017-11-30 09:16:56:911168,Robot State:,0.0
2017-11-30 09:16:56:954780,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:56:955427,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:56:955868,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:57:055821,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:57:055993,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:57:163509,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:57:164560,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:57:164401,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:57:358860,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:57:360127,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:57:360687,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:57:464367,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:57:465119,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:57:465426,Detected ARTags: ,"[34, 35]"
