*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-29 16:06:48:382549,Instruction:,"NumberOfStart:
2
ChildName:
Gabriel
HandMoveSpeed:
0.075
ReadDelay:
0.03
ReadSpeed:
80
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1

Medium Level: 0.075 0.03 80 1 

High Level:"
2017-11-29 16:06:48:382978,Reading speed:,0.075with0.075delay
2017-11-29 16:06:48:383540,Child Name:,Gabriel
2017-11-29 16:06:48:387479,On or OFF:,Face Tracking is OFF
2017-11-29 16:06:48:989097,On or OFF:,Face Tracking is ON
2017-11-29 16:06:49:492206,Robot State:,Introduce Nao Started
2017-11-29 16:06:51:707936,Instruction:,\rspd=90\ 
2017-11-29 16:06:52:208252,Robot State:,Introduce Nao Ended
2017-11-29 16:06:52:745216,On or OFF:,Face Tracking is OFF
2017-11-29 16:06:53:757647,Robot State:,Looking at The Book
2017-11-29 16:06:54:721260,Robot State:,TaskONE Selected
2017-11-29 16:06:55:739764,Robot State:,Looking at The Book
2017-11-29 16:06:56:244395,Detected ARTags: ,"32, 33"
2017-11-29 16:06:56:257083,Detected ARTags: ,"[32, 33]"
2017-11-29 16:06:56:257235,Current State of Reading: ,False
2017-11-29 16:06:56:265168,Detected ARTags: ,"32, 33"
2017-11-29 16:06:56:265751,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:56:265895,Detected ARTags: ,"[32, 33]"
2017-11-29 16:06:57:821244,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:57:822304,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:57:822597,Current State of Reading: ,False
2017-11-29 16:06:57:926889,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:57:927910,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:57:928251,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:58:124372,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:58:125411,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:58:125572,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:58:217808,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:58:218512,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:58:218413,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:58:328681,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:58:329677,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:58:329488,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:58:428679,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:58:429294,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:58:429454,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:58:516874,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:58:517694,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:58:517640,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:58:613114,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:58:613689,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:58:613756,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:58:712571,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:58:713212,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:58:713328,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:58:812670,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:58:813182,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:58:813289,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:58:930737,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:58:930998,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:58:931584,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:59:012104,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:59:012769,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:59:012717,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:59:126303,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:59:127436,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:59:127728,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:59:227157,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:59:227777,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:59:227641,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:59:326217,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:59:327513,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:59:328445,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:59:349193,Body Gesture:,Pointing
2017-11-29 16:06:59:354710,Robot State:,Reading Mode Started
2017-11-29 16:06:59:354812,Current State of Correction: ,False
2017-11-29 16:06:59:414406,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:59:414860,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:59:415099,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:59:519050,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:59:519820,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:59:520051,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:59:627975,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:59:628249,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:59:628592,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:59:724682,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:59:726667,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:59:726472,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:59:827858,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:59:829083,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:06:59:829491,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:59:928943,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:06:59:929862,Detected ARTags: ,"[34, 35]"
2017-11-29 16:06:59:930180,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:00:027942,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:00:029668,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:00:029942,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:00:112450,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:00:112310,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:00:112625,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:00:215411,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:00:215773,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:00:215860,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:00:313077,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:00:313665,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:00:314646,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:00:412666,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:00:413264,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:00:413223,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:00:519323,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:00:521691,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:00:521537,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:00:623866,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:00:624314,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:00:624648,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:00:822528,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:00:824050,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:00:824372,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:00:929807,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:00:930502,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:00:930729,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:01:016048,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:01:016530,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:01:016685,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:01:112329,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:01:112824,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:01:112974,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:01:212538,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:01:213094,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:01:214058,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:01:328935,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:01:329705,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:01:330140,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:01:420020,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:01:421001,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:01:421129,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:01:513821,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:01:514427,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:01:514543,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:01:629608,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:01:629796,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:01:820288,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:01:820800,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:01:821210,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:01:929415,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:01:929879,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:01:929733,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:02:013274,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:02:013830,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:02:013961,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:02:224926,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:02:225370,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:02:227903,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:02:343290,Robot Hand Pose: ,"x: 0.18187841773
y: 0.0955100208521
z: 0.206132620573
x: 0.0138639472425
y: 0.542396783829
z: -0.0865484178066
w: 1.0"
2017-11-29 16:07:02:343583,Current Word:,\rspd=80\  The children
2017-11-29 16:07:02:376577,Robot State:,0.03
2017-11-29 16:07:02:412803,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:02:413341,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:02:413457,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:02:514861,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:02:515386,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:02:515237,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:03:213192,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:03:213487,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:03:213555,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:03:313163,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:03:313890,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:03:313826,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:03:420105,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:03:421266,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:03:421126,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:03:563504,Current Word:,\rspd=80\ went
2017-11-29 16:07:03:563739,Robot Hand Pose: ,"x: 0.192697361112
y: 0.083857640624
z: 0.223096698523
x: 0.0128521984443
y: 0.449307799339
z: -0.139232039452
w: 1.0"
2017-11-29 16:07:03:601184,Robot State:,0.03
2017-11-29 16:07:04:780681,Robot Hand Pose: ,"x: 0.190409392118
y: 0.0699407085776
z: 0.220982432365
x: 0.0154462568462
y: 0.45713186264
z: -0.21305963397
w: 1.0"
2017-11-29 16:07:04:781674,Current Word:,\rspd=80\ outside			
2017-11-29 16:07:04:814452,Robot State:,0.03
2017-11-29 16:07:05:239959,Robot Hand Pose: ,"x: 0.182829797268
y: 0.0857696756721
z: 0.206749588251
x: 0.0247920136899
y: 0.536391615868
z: -0.134926900268
w: 1.0"
2017-11-29 16:07:05:240161,Current Word:,\rspd=80\	They
2017-11-29 16:07:05:275163,Robot State:,0.03
2017-11-29 16:07:06:462883,Robot Hand Pose: ,"x: 0.185663595796
y: 0.0844272747636
z: 0.211369350553
x: 0.0174278784543
y: 0.510976672173
z: -0.140665486455
w: 1.0"
2017-11-29 16:07:06:463494,Current Word:,\rspd=80\  broke
2017-11-29 16:07:06:495587,Robot State:,0.03
2017-11-29 16:07:07:682549,Robot Hand Pose: ,"x: 0.184450760484
y: 0.07077845186
z: 0.211019545794
x: 0.0226260069758
y: 0.509403288364
z: -0.214197546244
w: 1.0"
2017-11-29 16:07:07:682991,Current Word:,\rspd=80\ the tree
2017-11-29 16:07:07:714579,Robot State:,0.03
2017-11-29 16:07:08:939296,Robot State:,Looking at The Book
2017-11-29 16:07:11:129920,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:11:130692,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:11:131354,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:11:214324,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:11:214534,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:11:214912,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:11:315937,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:11:316313,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:11:316598,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:11:428662,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:11:430126,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:11:430399,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:11:528189,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:11:530099,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:11:530474,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:11:629999,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:11:631172,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:11:631484,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:12:620725,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:12:622017,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:12:622182,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:12:723249,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:12:723926,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:12:725819,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:12:738663,Robot State:,Looking at The Book
2017-11-29 16:07:12:812770,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:12:813089,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:12:813319,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:12:912778,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:12:913240,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:12:913330,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:12:934033,Detected Buttons: ,RED Button Detected
2017-11-29 16:07:13:017915,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:13:018568,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:13:018656,Current State of Reading: ,Correcting Mode
2017-11-29 16:07:13:030633,Robot State:,Reaction Mode Started
2017-11-29 16:07:13:099174,Detected Buttons: ,RED Button Detected
2017-11-29 16:07:14:767782,Body Gesture:,Pointing
2017-11-29 16:07:14:773541,Robot State:,Reading Mode Started
2017-11-29 16:07:14:774127,Current State of Correction: ,True
2017-11-29 16:07:25:358103,Robot State:,Looking at The Book
2017-11-29 16:07:25:916490,Robot State:,Reaction Mode Ended
2017-11-29 16:07:26:150440,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:151029,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:151243,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:152537,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:154984,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:154442,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:155130,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:156620,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:156830,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:157952,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:159186,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:159475,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:160003,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:160610,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:160736,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:161795,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:162542,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:162647,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:163770,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:164915,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:165319,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:166031,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:166562,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:167085,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:167181,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:168669,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:169544,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:169672,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:170443,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:170837,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:170972,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:172109,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:172270,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:173216,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:174101,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:174587,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:175457,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:176230,Detected ARTags: ,"[34, 35]"
2017-11-29 16:07:26:176637,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:177224,Detected ARTags: ,"34, 35, 36, 37"
2017-11-29 16:07:26:178053,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:07:26:179066,Detected ARTags: ,"[34, 35]"
