*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 16:15:31:395283,Child Name:,Child Name
2017-11-20 16:15:31:398956,On or OFF:,Face Tracking is OFF
2017-11-20 16:15:32:139359,On or OFF:,Face Tracking is ON
2017-11-20 16:15:33:143555,Robot State:,Introduce Nao Started
2017-11-20 16:15:35:754361,Robot State:,Introduce Nao Ended
2017-11-20 16:15:36:258630,On or OFF:,Face Tracking is OFF
2017-11-20 16:15:37:268997,Robot State:,Looking at The Book
2017-11-20 16:15:37:903640,Robot State:,TaskONE Selected
2017-11-20 16:15:38:928024,Robot State:,Looking at The Book
2017-11-20 16:15:39:440933,Current State of Reading: ,False
2017-11-20 16:15:39:448286,Current State of Reading: ,Waiting for Red-card
2017-11-20 16:15:41:031853,Robot State:,Reading Mode Started
2017-11-20 16:15:45:550391,Robot Hand Pose: ,"x: 0.204575046897
y: 0.113711200655
z: 0.250744819641
x: 0.0204732827842
y: 0.315538436174
z: 0.0163958277553
w: 1.0"
2017-11-20 16:15:45:550775,Current Word:,\rspd=70\  HOOT
2017-11-20 16:15:48:353301,Robot Hand Pose: ,"x: 0.212086364627
y: 0.0909417569637
z: 0.2691372931
x: 0.00234651030041
y: 0.223885759711
z: -0.0919387191534
w: 1.0"
2017-11-20 16:15:48:353512,Current Word:,\rspd=70\ HOOT		
2017-11-20 16:15:49:351611,Robot Hand Pose: ,"x: 0.20299385488
y: 0.119518898427
z: 0.249146863818
x: 0.00944943260401
y: 0.323824644089
z: 0.0439103618264
w: 1.0"
2017-11-20 16:15:49:352053,Current Word:,\rspd=70\  Don't
2017-11-20 16:15:50:389251,Detected Cards: ,YELLOW Card Detected
2017-11-20 16:15:50:656974,Robot Hand Pose: ,"x: 0.204946637154
y: 0.121067173779
z: 0.25543436408
x: 0.0077225426212
y: 0.293134242296
z: 0.0510352440178
w: 1.0"
2017-11-20 16:15:50:657716,Current Word:,\rspd=70\ listen
2017-11-20 16:15:50:896036,Current State of Reading: ,Repeat Wrong Mode
2017-11-20 16:15:51:003976,Current State of Reading: ,Repeated Wrong Mode
2017-11-20 16:15:51:089071,Current State of Reading: ,Waiting for Red-card
2017-11-20 16:15:51:971736,Robot Hand Pose: ,"x: 0.205966323614
y: 0.113037861884
z: 0.255215525627
x: -0.00247180997394
y: 0.292935192585
z: 0.0121687762439
w: 1.0"
2017-11-20 16:15:51:972521,Current Word:,\rspd=70\ to
2017-11-20 16:15:53:273067,Robot Hand Pose: ,"x: 0.206716120243
y: 0.103663086891
z: 0.255233705044
x: -0.00172025151551
y: 0.292070746422
z: -0.0320729352534
w: 1.0"
2017-11-20 16:15:53:273598,Current Word:,\rspd=70\ that
2017-11-20 16:15:54:592873,Current Word:,\rspd=70\ tiny
2017-11-20 16:15:54:592599,Robot Hand Pose: ,"x: 0.20701649785
y: 0.0939001142979
z: 0.254919439554
x: -0.000116249553685
y: 0.292231440544
z: -0.0789633989334
w: 1.0"
2017-11-20 16:15:55:912774,Robot Hand Pose: ,"x: 0.207048073411
y: 0.08415132761
z: 0.254702419043
x: 0.00615380145609
y: 0.292026519775
z: -0.126847714186
w: 1.0"
2017-11-20 16:15:55:913941,Current Word:,\rspd=70\ little
2017-11-20 16:15:57:232452,Current Word:,\rspd=70\  rabbit 			
2017-11-20 16:15:57:231405,Robot Hand Pose: ,"x: 0.207069933414
y: 0.0751327350736
z: 0.255865097046
x: 0.0069740829058
y: 0.285238623619
z: -0.170122802258
w: 1.0"
2017-11-20 16:15:58:611145,Robot Hand Pose: ,"x: 0.197901844978
y: 0.121738828719
z: 0.238704323769
x: 0.00827346276492
y: 0.376893103123
z: 0.0580309070647
w: 1.0"
2017-11-20 16:15:58:611564,Current Word:,\rspd=70\  I am
2017-11-20 16:15:59:713725,Robot Hand Pose: ,"x: 0.199426904321
y: 0.122866101563
z: 0.242427229881
x: 0.00669158063829
y: 0.358415454626
z: 0.0638168752193
w: 1.0"
2017-11-20 16:15:59:714273,Current Word:,\rspd=70\ the
2017-11-20 16:16:00:830164,Robot Hand Pose: ,"x: 0.200892701745
y: 0.118238925934
z: 0.244235694408
x: -0.000717966933735
y: 0.348414510489
z: 0.0403140112758
w: 1.0"
2017-11-20 16:16:00:830685,Current Word:,\rspd=70\ wisest
2017-11-20 16:16:01:550937,Detected Cards: ,RED Card Detected
2017-11-20 16:16:01:691373,Current State of Reading: ,Correcting Mode
2017-11-20 16:16:01:693380,Detected Cards: ,RED Card Detected
2017-11-20 16:16:01:702286,Robot State:,Reaction Mode Started
2017-11-20 16:16:10:147300,Robot State:,Looking at The Book
2017-11-20 16:16:14:249796,Robot State:,Looking at The Book
2017-11-20 16:16:14:790902,Robot State:,Reaction Mode Ended
2017-11-20 16:16:15:026313,Current State of Reading: ,Waiting for Red-card
2017-11-20 16:16:16:615595,Robot State:,Reading Mode Started
2017-11-20 16:16:21:291070,Current Word:,\rspd=70\  HOOT
2017-11-20 16:16:21:290754,Robot Hand Pose: ,"x: 0.203995794058
y: 0.114116966724
z: 0.249652534723
x: 0.017812827602
y: 0.320954024792
z: 0.0182441286743
w: 1.0"
