*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 17:24:52:820307,Child Name:,test
2017-12-04 17:24:52:820651,Reading speed:,0.06with0.06delay
2017-12-04 17:24:52:820713,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:
point
WhichPage:
Right
CorrectionState:
True




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-04 17:24:52:834270,On or OFF:,Face Tracking is OFF
2017-12-04 17:24:53:645655,On or OFF:,Face Tracking is ON
2017-12-04 17:24:54:147479,Robot State:,Introduce Nao Started
2017-12-04 17:24:55:613424,Robot State:,Looking at The Book
2017-12-04 17:24:57:136875,Instruction:,\rspd=90\ 
2017-12-04 17:24:57:637510,Robot State:,Introduce Nao Ended
2017-12-04 17:24:58:137858,On or OFF:,Face Tracking is OFF
2017-12-04 17:24:59:153458,Robot State:,Looking at The Book
2017-12-04 17:25:00:120261,Robot State:,TaskONE Selected
2017-12-04 17:25:01:132806,Robot State:,Looking at The Book
2017-12-04 17:25:01:643039,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:01:654330,Detected ARTags: ,"[ 47, 48]"
2017-12-04 17:25:01:654703,Current State of Reading: ,False
2017-12-04 17:25:01:661574,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:01:664037,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:01:664685,Current State of Reading: ,False
2017-12-04 17:25:01:671886,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:01:672989,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:01:673241,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:01:673431,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:01:673541,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:01:673602,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:01:709398,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:01:709577,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:01:709619,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:01:827000,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:01:827827,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:01:828126,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:03:219081,Body Gesture:,Pointing
2017-12-04 17:25:03:230044,Robot State:,Reading Mode Started
2017-12-04 17:25:03:230343,Current State of Correction: ,False
2017-12-04 17:25:05:219317,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:05:219416,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:05:219713,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:05:321822,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:05:322005,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:05:322306,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:05:418667,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:05:419714,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:05:420087,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:05:524454,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:05:525742,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:05:525647,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:06:122495,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:06:122635,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:06:122958,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:06:836440,Robot Hand Pose: ,"x: 0.182315677404
y: 0.11260509491
z: 0.208415597677
x: 0.0112828956917
y: 0.534849345684
z: 0.00637744087726
w: 1.0"
2017-12-04 17:25:06:838398,Current Word:,\rspd=80\  They
2017-12-04 17:25:06:841160,Robot State:,0.0
2017-12-04 17:25:07:609240,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:07:609506,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:07:609632,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:07:816969,Robot Hand Pose: ,"x: 0.191507637501
y: 0.108133651316
z: 0.222338438034
x: 0.00786410924047
y: 0.458902925253
z: -0.0163736045361
w: 1.0"
2017-12-04 17:25:07:817388,Current Word:,\rspd=80\ played
2017-12-04 17:25:07:818906,Robot State:,0.0
2017-12-04 17:25:08:763039,Robot Hand Pose: ,"x: 0.189471364021
y: 0.099475979805
z: 0.217835962772
x: 0.00661659194157
y: 0.480500161648
z: -0.0609107539058
w: 1.0"
2017-12-04 17:25:08:763867,Current Word:,\rspd=80\ a game
2017-12-04 17:25:08:767489,Robot State:,0.0
2017-12-04 17:25:09:695931,Robot Hand Pose: ,"x: 0.189023762941
y: 0.0908979028463
z: 0.216402083635
x: 0.00655090995133
y: 0.486053019762
z: -0.106291145086
w: 1.0"
2017-12-04 17:25:09:697147,Current Word:,\rspd=80\ on
2017-12-04 17:25:09:699329,Robot State:,0.0
2017-12-04 17:25:10:636173,Robot Hand Pose: ,"x: 0.186329379678
y: 0.0835822224617
z: 0.212393075228
x: 0.0130508672446
y: 0.505410254002
z: -0.145284131169
w: 1.0"
2017-12-04 17:25:10:636931,Current Word:,\rspd=80\ the
2017-12-04 17:25:10:640070,Robot State:,0.0
2017-12-04 17:25:11:574795,Robot Hand Pose: ,"x: 0.184006646276
y: 0.0758191943169
z: 0.209398671985
x: 0.0169009119272
y: 0.519427776337
z: -0.188640117645
w: 1.0"
2017-12-04 17:25:11:575195,Current Word:,\rspd=80\ computer 		
2017-12-04 17:25:11:577040,Robot State:,0.0
2017-12-04 17:25:12:277757,Robot Hand Pose: ,"x: 0.180925071239
y: 0.103853054345
z: 0.205183118582
x: 0.01968671754
y: 0.55011600256
z: -0.0363164581358
w: 1.0"
2017-12-04 17:25:12:278293,Current Word:,\rspd=80\  It
2017-12-04 17:25:12:279972,Robot State:,0.0
2017-12-04 17:25:13:555628,Robot Hand Pose: ,"x: 0.181226596236
y: 0.101427555084
z: 0.205454722047
x: 0.00872971024364
y: 0.547972559929
z: -0.048844050616
w: 1.0"
2017-12-04 17:25:13:556959,Current Word:,\rspd=80\ was
2017-12-04 17:25:13:559647,Robot State:,0.0
2017-12-04 17:25:14:815828,Robot Hand Pose: ,"x: 0.179241582751
y: 0.0896438583732
z: 0.202085912228
x: 0.0148257249966
y: 0.563330173492
z: -0.116214700043
w: 1.0"
2017-12-04 17:25:14:816155,Current Word:,\rspd=80\ called
2017-12-04 17:25:14:819222,Robot State:,0.0
2017-12-04 17:25:16:034909,Robot Hand Pose: ,"x: 0.176410198212
y: 0.0781119987369
z: 0.198940873146
x: 0.0178803578019
y: 0.577392697334
z: -0.182620987296
w: 1.0"
2017-12-04 17:25:16:035445,Current Word:,\rspd=80\ Red Planet		
2017-12-04 17:25:16:038839,Robot State:,0.0
2017-12-04 17:25:16:778629,Robot Hand Pose: ,"x: 0.172147870064
y: 0.108942642808
z: 0.194449454546
x: 0.018059104681
y: 0.612764298916
z: -0.00786601845175
w: 1.0"
2017-12-04 17:25:16:779015,Current Word:,\rspd=80\  They
2017-12-04 17:25:16:780665,Robot State:,0.0
2017-12-04 17:25:16:908704,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:16:909185,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:16:909284,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:17:616720,Current Word:,\rspd=80\ had
2017-12-04 17:25:17:616911,Robot Hand Pose: ,"x: 0.175572767854
y: 0.11064696312
z: 0.199150875211
x: 0.0122542520985
y: 0.586210012436
z: 0.00263508618809
w: 1.0"
2017-12-04 17:25:17:619643,Robot State:,0.0
2017-12-04 17:25:17:708265,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:17:708758,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:17:708876,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:18:112544,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:18:112897,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:18:113017,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:18:434734,Robot Hand Pose: ,"x: 0.174525976181
y: 0.103758528829
z: 0.196755930781
x: 0.0183532889932
y: 0.597861588001
z: -0.0380378440022
w: 1.0"
2017-12-04 17:25:18:435112,Current Word:,\rspd=80\ to
2017-12-04 17:25:18:437029,Robot State:,0.0
2017-12-04 17:25:18:723621,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:18:724438,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:18:724580,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:19:236107,Robot Hand Pose: ,"x: 0.173591405153
y: 0.0958892181516
z: 0.19475351274
x: 0.0203424096107
y: 0.606797337532
z: -0.0847106277943
w: 1.0"
2017-12-04 17:25:19:236031,Current Word:,\rspd=80\  stand
2017-12-04 17:25:19:237672,Robot State:,0.0
2017-12-04 17:25:19:415650,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:19:416389,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:19:416721,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:19:620124,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:19:620409,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:19:620618,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:20:008989,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:20:009127,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:20:009328,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:20:059196,Robot Hand Pose: ,"x: 0.171431392431
y: 0.0883179455996
z: 0.192011460662
x: 0.0247615911067
y: 0.620120644569
z: -0.130273163319
w: 1.0"
2017-12-04 17:25:20:059553,Current Word:,\rspd=80\ a rocket
2017-12-04 17:25:20:063430,Robot State:,0.0
2017-12-04 17:25:20:325359,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:20:325745,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:20:326008,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:20:816259,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:20:816510,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:20:816641,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:20:857267,Robot Hand Pose: ,"x: 0.167764097452
y: 0.082208365202
z: 0.187599539757
x: 0.0262964759022
y: 0.643820643425
z: -0.168518468738
w: 1.0"
2017-12-04 17:25:20:857986,Current Word:,\rspd=80\ on
2017-12-04 17:25:20:860590,Robot State:,0.0
2017-12-04 17:25:21:008975,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:21:009683,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:21:009629,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:21:656929,Robot Hand Pose: ,"x: 0.166637986898
y: 0.075875647366
z: 0.186652690172
x: 0.0293379686773
y: 0.647083580494
z: -0.20752774179
w: 1.0"
2017-12-04 17:25:21:657611,Current Word:,\rspd=80\ the planet 	
2017-12-04 17:25:21:661322,Robot State:,0.0
2017-12-04 17:25:21:825504,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:21:825657,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:21:918361,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:21:919120,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:21:919332,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:22:223411,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:22:224590,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:22:224684,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:22:470160,Robot Hand Pose: ,"x: 0.154567733407
y: 0.106901310384
z: 0.174278095365
x: 0.0166092310101
y: 0.735820174217
z: -0.0219559259713
w: 1.0"
2017-12-04 17:25:22:470336,Current Word:,\rspd=80\ Wilf
2017-12-04 17:25:22:473856,Robot State:,0.0
2017-12-04 17:25:22:814196,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:22:815123,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:22:815462,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:23:020848,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:23:021263,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:23:021587,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:23:427388,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:23:427666,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:23:427526,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:23:496446,Robot Hand Pose: ,"x: 0.155282139778
y: 0.106324598193
z: 0.174962773919
x: 0.0215382594615
y: 0.731032192707
z: -0.0261931084096
w: 1.0"
2017-12-04 17:25:23:496727,Current Word:,\rspd=80\ and
2017-12-04 17:25:23:498693,Robot State:,0.0
2017-12-04 17:25:23:512086,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:23:512485,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:23:512416,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:23:610710,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:23:611292,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:23:611418,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:23:713546,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:23:713919,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:23:714123,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:23:915639,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:23:916478,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:23:916639,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:24:013660,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:24:014351,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:24:014641,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:24:219502,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:24:220950,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:25:24:221202,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:24:311233,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:25:24:311932,Detected ARTags: ,"[45, 46]"
2017-12-04 17:25:24:312061,Current State of Reading: ,Waiting for Red-card
