*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 18:15:10:678483,Child Name:,Child Name
2017-11-20 18:15:10:688504,On or OFF:,Face Tracking is OFF
2017-11-20 18:15:11:403158,On or OFF:,Face Tracking is ON
2017-11-20 18:15:12:406156,Robot State:,Introduce Nao Started
2017-11-20 18:15:15:143318,Robot State:,Introduce Nao Ended
2017-11-20 18:15:15:673138,On or OFF:,Face Tracking is OFF
2017-11-20 18:15:16:699330,Robot State:,Looking at The Book
2017-11-20 18:15:17:959099,Robot State:,TaskONE Selected
2017-11-20 18:15:18:979520,Robot State:,Looking at The Book
2017-11-20 18:15:19:495720,Current State of Reading: ,False
2017-11-20 18:15:19:501431,Current State of Reading: ,Waiting for Red-card
2017-11-20 18:15:21:297726,Robot State:,Reading Mode Started
2017-11-20 18:15:25:983795,Robot Hand Pose: ,"x: 0.204826295376
y: 0.107786767185
z: 0.250132769346
x: 0.0184372700751
y: 0.317387223244
z: -0.012594548054
w: 1.0"
2017-11-20 18:15:25:985584,Current Word:,\rspd=70\  HOOT
2017-11-20 18:15:28:646473,Robot Hand Pose: ,"x: 0.212452501059
y: 0.0868141278625
z: 0.272337406874
x: 0.00361307710409
y: 0.208420783281
z: -0.108910121024
w: 1.0"
2017-11-20 18:15:28:647401,Current Word:,\rspd=70\ HOOT		
2017-11-20 18:15:29:623650,Robot Hand Pose: ,"x: 0.204712003469
y: 0.11329460144
z: 0.252242594957
x: 0.0167251918465
y: 0.307832360268
z: 0.0162737350911
w: 1.0"
2017-11-20 18:15:29:623941,Current Word:,\rspd=70\  Don't
2017-11-20 18:15:30:841715,Robot Hand Pose: ,"x: 0.206558480859
y: 0.114673018456
z: 0.257673919201
x: 0.0110314935446
y: 0.281566768885
z: 0.0234620478004
w: 1.0"
2017-11-20 18:15:30:842184,Current Word:,\rspd=70\ listen
2017-11-20 18:15:32:122626,Current Word:,\rspd=70\ to
