*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-01 09:20:43:223009,Child Name:,Daria
2017-12-01 09:20:43:223137,Instruction:,"NumberOfStart:
1
ChildName:
Daria
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:
point



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

2017-12-01 09:21:17:861921,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:17:862162,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:17:876204,Body Gesture:,Pointing
2017-12-01 09:21:17:881771,Robot State:,Reading Mode Started
2017-12-01 09:21:17:882004,Current State of Correction: ,False
2017-12-01 09:21:17:966404,Detected ARTags: ,"90, 91"
2017-12-01 09:21:17:966953,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:17:967331,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:18:066514,Detected ARTags: ,"90, 91"
2017-12-01 09:21:18:067239,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:18:067400,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:18:155290,Detected ARTags: ,"90, 91"
2017-12-01 09:21:18:155599,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:18:155689,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:18:365548,Detected ARTags: ,"90, 91"
2017-12-01 09:21:18:366434,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:18:366673,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:18:467653,Detected ARTags: ,"90, 91"
2017-12-01 09:21:18:468521,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:18:468660,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:18:555305,Detected ARTags: ,"90, 91"
2017-12-01 09:21:18:555486,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:18:555618,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:18:665901,Detected ARTags: ,"90, 91"
2017-12-01 09:21:18:667449,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:18:667799,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:18:767512,Detected ARTags: ,"90, 91"
2017-12-01 09:21:18:768019,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:18:768151,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:18:869779,Detected ARTags: ,"90, 91"
2017-12-01 09:21:18:870665,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:18:870980,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:18:967741,Detected ARTags: ,"90, 91"
2017-12-01 09:21:18:968478,Current State of Reading: ,Waiting for Red-card
