*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-05 18:16:48:937797,Child Name:,test
2017-12-05 18:16:48:937742,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
70
ReactionDelay:
1
HandPoint:

WhichPage:
Right
CorrectionState: Default=False
False




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-05 18:16:48:937932,Reading speed:,0.06with0.06delay
2017-12-05 18:16:48:941937,On or OFF:,Face Tracking is OFF
2017-12-05 18:16:48:980268,On or OFF:,Face Tracking is ON
2017-12-05 18:16:49:482332,Robot State:,Introduce Nao Started
2017-12-05 18:16:51:731980,Robot State:,Looking at The Book
2017-12-05 18:16:53:477994,Instruction:,\rspd=90\ 
2017-12-05 18:16:53:978564,Robot State:,Introduce Nao Ended
2017-12-05 18:16:53:993703,On or OFF:,Face Tracking is OFF
2017-12-05 18:16:55:012501,Robot State:,Looking at The Book
2017-12-05 18:16:55:610117,Robot State:,TaskONE Selected
2017-12-05 18:16:56:630784,Robot State:,Looking at The Book
2017-12-05 18:16:57:140702,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:158220,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:158105,Current State of Reading: ,False
2017-12-05 18:16:57:164103,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:164191,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:164599,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:164774,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:165005,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:165432,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:165637,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:165696,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:165802,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:166174,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:166358,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:166652,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:166782,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:167230,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:167428,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:168126,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:168930,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:169014,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:169650,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:169843,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:169742,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:169957,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:170441,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:170772,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:171278,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:171383,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:171951,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:171887,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:172053,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:172176,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:172523,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:172613,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:172649,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:173098,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:174255,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:174700,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:174921,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:175045,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:210221,Detected ARTags: ,"41, 42, 43, 44"
2017-12-05 18:16:57:210662,Detected ARTags: ,"[ 43, 44]"
2017-12-05 18:16:57:210753,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:16:57:313339,Detected ARTags: ,"41, 42, 43, 44"
