*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 16:27:07:043992,Instruction:,"NumberOfStart:
1
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-04 16:27:07:044624,Child Name:,test
2017-12-04 16:27:07:044721,Reading speed:,0.06with0.06delay
2017-12-04 16:27:07:051040,On or OFF:,Face Tracking is OFF
2017-12-04 16:27:08:071183,Robot State:,Looking at The Book
2017-12-04 16:27:09:296137,On or OFF:,Face Tracking is ON
2017-12-04 16:27:09:799600,Robot State:,Introduce Nao Started
2017-12-04 16:27:27:878863,Instruction:,"\rspd=90\ Hello test\pau=700\ My name is Nao \pau=500\ I really like reading short stories\rspd=90\ Do you want to listen to them?\rspd=90\ sometimes I make mistakes, can you help me to correct them?\rspd=90\ If you want to read with me, please bring the book"
2017-12-04 16:27:28:379786,Robot State:,Introduce Nao Ended
2017-12-04 16:27:28:813880,On or OFF:,Face Tracking is OFF
2017-12-04 16:27:29:829312,Robot State:,Looking at The Book
2017-12-04 16:27:30:416604,Robot State:,TaskONE Selected
2017-12-04 16:27:31:429724,Robot State:,Looking at The Book
2017-12-04 16:27:31:938657,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:950327,Current State of Reading: ,False
2017-12-04 16:27:31:950726,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:955836,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:956208,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:956423,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:957372,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:957299,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:957647,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:957742,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:957904,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:957844,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:958633,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:958525,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:959150,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:959554,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:959288,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:959764,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:959938,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:960568,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:961094,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:961322,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:962769,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:962828,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:962994,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:963761,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:963846,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:964565,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:964536,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:964816,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:965130,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:965265,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:965691,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:965976,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:966238,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:966803,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:966862,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:966707,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:967364,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:967406,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:967457,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:967874,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:967905,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:968027,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:968223,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:31:968316,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:27:31:968361,Detected ARTags: ,"30, 31"
2017-12-04 16:27:31:968431,Detected ARTags: ,"[30, 31]"
2017-12-04 16:27:32:004095,Detected ARTags: ,"30, 31"
