*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 16:26:28:187816,Instruction:,"NumberOfStart:
2
ChildName:
Mahan
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-04 16:26:28:188197,Child Name:,Mahan
2017-12-04 16:26:28:188287,Reading speed:,0.06with0.06delay
2017-12-04 16:26:28:195466,On or OFF:,Face Tracking is OFF
2017-12-04 16:26:29:210747,Robot State:,Looking at The Book
2017-12-04 16:26:30:282458,On or OFF:,Face Tracking is ON
2017-12-04 16:26:30:785925,Robot State:,Introduce Nao Started
2017-12-04 16:26:32:901016,Instruction:,\rspd=90\ 
2017-12-04 16:26:33:401911,Robot State:,Introduce Nao Ended
2017-12-04 16:26:33:868626,On or OFF:,Face Tracking is OFF
2017-12-04 16:26:34:893110,Robot State:,Looking at The Book
2017-12-04 16:26:35:505135,Robot State:,TaskONE Selected
2017-12-04 16:26:36:530393,Robot State:,Looking at The Book
2017-12-04 16:26:37:035618,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:047867,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:047982,Current State of Reading: ,False
2017-12-04 16:26:37:057075,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:057425,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:058030,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:058361,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:059878,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:059502,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:060106,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:060278,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:060423,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:061272,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:061626,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:061775,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:062513,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:063510,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:063101,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:064076,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:064734,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:064594,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:065292,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:065666,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:066049,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:065759,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:066816,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:067196,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:067358,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:068278,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:068402,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:069114,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:069350,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:069597,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:070322,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:070580,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:071228,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:071717,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:072221,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:072517,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:073232,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:074073,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:074247,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:076203,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:076104,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:076728,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:079175,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:079042,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:080445,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:103594,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:104209,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:104283,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:214502,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:214035,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:214681,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:318194,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:319302,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:319097,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:418075,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:419110,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:418996,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:504130,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:504657,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:26:37:504706,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:603538,Detected ARTags: ,"30, 31"
2017-12-04 16:26:37:604033,Detected ARTags: ,"[30, 31]"
2017-12-04 16:26:37:604174,Current State of Reading: ,Waiting for Red-card
