*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 19:28:03:823213,Child Name:,test
2017-11-30 19:28:03:823351,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.05
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 19:28:03:823528,Reading speed:,0.05with0.05delay
2017-11-30 19:28:03:829899,On or OFF:,Face Tracking is OFF
2017-11-30 19:28:04:438147,On or OFF:,Face Tracking is ON
2017-11-30 19:28:04:942179,Robot State:,Introduce Nao Started
2017-11-30 19:28:06:940215,Instruction:,\rspd=90\ 
2017-11-30 19:28:07:441018,Robot State:,Introduce Nao Ended
2017-11-30 19:28:07:642160,On or OFF:,Face Tracking is OFF
2017-11-30 19:28:08:651379,Robot State:,Looking at The Book
2017-11-30 19:28:09:199980,Robot State:,TaskONE Selected
2017-11-30 19:28:10:230908,Robot State:,Looking at The Book
2017-11-30 19:28:10:739153,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:749371,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:749750,Current State of Reading: ,False
2017-11-30 19:28:10:756985,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:10:758979,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:759170,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:759259,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:759544,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:759835,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:761835,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:10:760606,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:762111,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:764057,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:764933,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:765229,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:10:768775,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:771874,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:773079,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:773625,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:10:774786,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:775316,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:775429,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:10:775941,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:776118,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:10:776628,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:776912,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:777527,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:10:777642,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:777807,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:778327,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:778645,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:778903,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:778770,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:10:779003,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:10:779716,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:780349,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:780745,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:10:781153,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:781471,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:781536,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:10:781694,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:891610,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:892231,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:892341,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:10:991922,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:10:992135,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:10:992248,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:11:095455,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:11:096050,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:11:096156,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:11:206002,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:11:206446,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:11:206619,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:11:292838,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:11:293500,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:11:293424,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:11:501351,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:11:501655,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:11:501966,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:11:601101,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:28:11:601929,Detected ARTags: ,"[61, 62]"
2017-11-30 19:28:11:602099,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:28:11:702683,Detected ARTags: ,"61, 62, 63, 64"
