*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 16:28:34:056341,Instruction:,"NumberOfStart:
1
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-04 16:28:34:056650,Child Name:,test
2017-12-04 16:28:34:056750,Reading speed:,0.06with0.06delay
2017-12-04 16:28:34:064120,On or OFF:,Face Tracking is OFF
2017-12-04 16:28:35:086429,Robot State:,Looking at The Book
2017-12-04 16:28:36:236854,On or OFF:,Face Tracking is ON
2017-12-04 16:28:36:739521,Robot State:,Introduce Nao Started
2017-12-04 16:28:38:746399,Robot State:,Looking at The Book
