*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 18:34:48:606276,Child Name:,Child Name
2017-11-20 18:34:48:611808,On or OFF:,Face Tracking is OFF
2017-11-20 18:34:49:300091,On or OFF:,Face Tracking is ON
2017-11-20 18:34:50:301953,Robot State:,Introduce Nao Started
2017-11-20 18:34:57:486590,Robot State:,Introduce Nao Ended
2017-11-20 18:34:57:640383,On or OFF:,Face Tracking is OFF
2017-11-20 18:34:58:656772,Robot State:,Looking at The Book
2017-11-20 18:35:45:755760,Robot State:,TaskONE Selected
2017-11-20 18:35:46:775388,Robot State:,Looking at The Book
2017-11-20 18:35:47:287227,Current State of Reading: ,False
2017-11-20 18:35:47:291626,Current State of Reading: ,Waiting for Red-card
2017-11-20 18:35:53:288995,Robot State:,Reading Mode Started
2017-11-20 18:35:58:020855,Robot Hand Pose: ,"x: 0.207262352109
y: 0.103797391057
z: 0.256252139807
x: 0.0193216763437
y: 0.287201464176
z: -0.0339080952108
w: 1.0"
2017-11-20 18:35:58:021776,Current Word:,\rspd=70\  HEE
2017-11-20 18:36:01:061685,Robot Hand Pose: ,"x: 0.214580535889
y: 0.0795787572861
z: 0.281160056591
x: 0.00715555204079
y: 0.166716903448
z: -0.14338953793
w: 1.0"
2017-11-20 18:36:01:062408,Current Word:,\rspd=70\ HEE!		
2017-11-20 18:36:02:177896,Robot Hand Pose: ,"x: 0.206310421228
y: 0.113450884819
z: 0.256674438715
x: 0.0149067835882
y: 0.286291360855
z: 0.0155842071399
w: 1.0"
2017-11-20 18:36:02:178261,Current Word:,\rspd=70\  That
2017-11-20 18:36:03:499045,Current Word:,\rspd=70\ silly
2017-11-20 18:36:03:498672,Robot Hand Pose: ,"x: 0.208165332675
y: 0.115204624832
z: 0.26316177845
x: 0.0140119222924
y: 0.255175024271
z: 0.0243083760142
w: 1.0"
2017-11-20 18:36:04:816750,Robot Hand Pose: ,"x: 0.209303885698
y: 0.10591263324
z: 0.263348907232
x: 0.00400318717584
y: 0.253084689379
z: -0.020344754681
w: 1.0"
2017-11-20 18:36:04:817081,Current Word:,\rspd=70\  young
2017-11-20 18:36:06:143794,Current Word:,\rspd=70\ owl
2017-11-20 18:36:06:143472,Robot Hand Pose: ,"x: 0.209981381893
y: 0.0965566933155
z: 0.263998866081
x: 0.00749618234113
y: 0.249150559306
z: -0.0645654127002
w: 1.0"
2017-11-20 18:36:07:470722,Robot Hand Pose: ,"x: 0.209789857268
y: 0.0872237682343
z: 0.263570636511
x: 0.00259981607087
y: 0.25013667345
z: -0.108931027353
w: 1.0"
2017-11-20 18:36:07:471215,Current Word:,\rspd=70\ didn't
2017-11-20 18:36:08:763877,Robot Hand Pose: ,"x: 0.210166081786
y: 0.0789925530553
z: 0.265696018934
x: 0.00808353628963
y: 0.239141300321
z: -0.148438572884
w: 1.0"
2017-11-20 18:36:08:763636,Current Word:,\rspd=70\ see
2017-11-20 18:36:10:019079,Robot Hand Pose: ,"x: 0.20942248404
y: 0.0703900009394
z: 0.265654295683
x: 0.00441471440718
y: 0.238385230303
z: -0.189385443926
w: 1.0"
2017-11-20 18:36:10:019419,Current Word:,\rspd=70\ me
2017-11-20 18:36:11:258879,Current Word:,\rspd=70\ coming!		
2017-11-20 18:36:11:258441,Robot Hand Pose: ,"x: 0.208819955587
y: 0.0617989227176
z: 0.266676098108
x: 0.00834048260003
y: 0.23275655508
z: -0.230273082852
w: 1.0"
