*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 18:38:51:115045,Child Name:,Child Name
2017-11-20 18:38:51:126970,On or OFF:,Face Tracking is OFF
2017-11-20 18:38:51:792212,On or OFF:,Face Tracking is ON
2017-11-20 18:38:52:795651,Robot State:,Introduce Nao Started
2017-11-20 18:38:56:459381,Robot State:,Introduce Nao Ended
2017-11-20 18:38:57:052656,On or OFF:,Face Tracking is OFF
2017-11-20 18:38:58:070161,Robot State:,Looking at The Book
2017-11-20 18:38:58:656798,Robot State:,TaskONE Selected
2017-11-20 18:38:59:670742,Robot State:,Looking at The Book
2017-11-20 18:39:00:188024,Current State of Reading: ,False
2017-11-20 18:39:00:200558,Current State of Reading: ,Waiting for Red-card
2017-11-20 18:39:01:883037,Robot State:,Reading Mode Started
2017-11-20 18:39:06:532571,Current Word:,\rspd=70\  HEE
2017-11-20 18:39:06:532692,Robot Hand Pose: ,"x: 0.206481575966
y: 0.108279742301
z: 0.254834651947
x: 0.0194787885994
y: 0.294602304697
z: -0.0113297225907
w: 1.0"
2017-11-20 18:39:09:317073,Robot Hand Pose: ,"x: 0.21350133419
y: 0.0854955837131
z: 0.275689482689
x: 0.00408035516739
y: 0.192746341228
z: -0.116784259677
w: 1.0"
2017-11-20 18:39:09:317504,Current Word:,\rspd=70\ HEE!		
2017-11-20 18:39:10:333775,Robot Hand Pose: ,"x: 0.205864191055
y: 0.115224927664
z: 0.256150722504
x: 0.0143614113331
y: 0.289184749126
z: 0.0237890612334
w: 1.0"
2017-11-20 18:39:10:334026,Current Word:,\rspd=70\  That
2017-11-20 18:39:11:534247,Robot Hand Pose: ,"x: 0.206915766001
y: 0.116440244019
z: 0.259698957205
x: 0.0125626558438
y: 0.272067338228
z: 0.0296062473208
w: 1.0"
2017-11-20 18:39:11:534763,Current Word:,\rspd=70\ silly
2017-11-20 18:39:12:753188,Robot Hand Pose: ,"x: 0.207801476121
y: 0.109868742526
z: 0.259956747293
x: 0.00331768742763
y: 0.269765794277
z: -0.00255957385525
w: 1.0"
2017-11-20 18:39:12:753742,Current Word:,\rspd=70\  young
2017-11-20 18:39:13:953637,Robot Hand Pose: ,"x: 0.207772806287
y: 0.101876534522
z: 0.258040070534
x: -0.00224022031762
y: 0.278171569109
z: -0.0405354760587
w: 1.0"
2017-11-20 18:39:13:954280,Current Word:,\rspd=70\ owl
2017-11-20 18:39:15:133426,Robot Hand Pose: ,"x: 0.20909306407
y: 0.0938938185573
z: 0.260960787535
x: 0.00399110047147
y: 0.263200193644
z: -0.07882732898
w: 1.0"
2017-11-20 18:39:15:133644,Current Word:,\rspd=70\ didn't
2017-11-20 18:39:16:316113,Current Word:,\rspd=70\ see
2017-11-20 18:39:16:316406,Robot Hand Pose: ,"x: 0.209052592516
y: 0.0856360718608
z: 0.260760456324
x: 0.00437991786748
y: 0.263178050518
z: -0.118541143835
w: 1.0"
2017-11-20 18:39:17:493524,Robot Hand Pose: ,"x: 0.209050953388
y: 0.0776073113084
z: 0.261699169874
x: 0.00451501505449
y: 0.257797122002
z: -0.156636089087
w: 1.0"
2017-11-20 18:39:17:493903,Current Word:,\rspd=70\ me
2017-11-20 18:39:18:693927,Robot Hand Pose: ,"x: 0.206981748343
y: 0.0701234042645
z: 0.257934272289
x: 0.00112462439574
y: 0.2748875916
z: -0.193325281143
w: 1.0"
2017-11-20 18:39:18:694944,Current Word:,\rspd=70\ coming!		
2017-11-20 18:39:20:022540,Robot Hand Pose: ,"x: 0.200382828712
y: 0.115255847573
z: 0.242623269558
x: 0.013528091833
y: 0.355906248093
z: 0.0241382811219
w: 1.0"
2017-11-20 18:39:20:023031,Current Word:,\rspd=70\  My
2017-11-20 18:39:21:333491,Robot Hand Pose: ,"x: 0.203094929457
y: 0.11628510803
z: 0.249951764941
x: 0.010553012602
y: 0.319785296917
z: 0.0296118222177
w: 1.0"
2017-11-20 18:39:21:333738,Current Word:,\rspd=70\ dad
2017-11-20 18:39:22:632804,Current Word:,\rspd=70\ says
2017-11-20 18:39:22:633470,Robot Hand Pose: ,"x: 0.203995153308
y: 0.107012346387
z: 0.249372571707
x: 0.00565725378692
y: 0.321359306574
z: -0.0155595112592
w: 1.0"
2017-11-20 18:39:23:933943,Robot Hand Pose: ,"x: 0.204735442996
y: 0.0981037020683
z: 0.250006705523
x: 0.00599584681913
y: 0.316919773817
z: -0.0592254884541
w: 1.0"
2017-11-20 18:39:23:938163,Current Word:,\rspd=70\ I am
