*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-05 18:04:34:000202,Child Name:,test
2017-12-05 18:04:34:000332,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:

WhichPage:
Right
CorrectionState: Default=False
False




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-05 18:04:34:000265,Reading speed:,0.06with0.06delay
2017-12-05 18:04:34:010426,On or OFF:,Face Tracking is OFF
2017-12-05 18:04:34:032014,On or OFF:,Face Tracking is ON
2017-12-05 18:04:34:534099,Robot State:,Introduce Nao Started
2017-12-05 18:04:36:473012,Robot State:,Looking at The Book
2017-12-05 18:04:38:094944,Instruction:,\rspd=90\ 
2017-12-05 18:04:38:595566,Robot State:,Introduce Nao Ended
2017-12-05 18:04:38:660956,On or OFF:,Face Tracking is OFF
2017-12-05 18:04:39:681148,Robot State:,Looking at The Book
2017-12-05 18:04:40:310987,Robot State:,TaskONE Selected
2017-12-05 18:04:41:320493,Robot State:,Looking at The Book
2017-12-05 18:04:41:824705,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 18:04:41:833621,Current State of Reading: ,False
2017-12-05 18:04:41:833782,Detected ARTags: ,"[ 47, 48]"
2017-12-05 18:04:41:840911,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 18:04:41:842733,Detected ARTags: ,"[ 47, 48]"
2017-12-05 18:04:41:842841,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:04:41:843378,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 18:04:41:843886,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:04:41:843773,Detected ARTags: ,"[ 47, 48]"
2017-12-05 18:04:41:844531,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 18:04:41:846070,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:04:41:847385,Detected ARTags: ,"[ 47, 48]"
2017-12-05 18:04:41:847709,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 18:04:41:849817,Detected ARTags: ,"[ 47, 48]"
2017-12-05 18:04:41:849520,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:04:41:850266,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 18:04:41:851885,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:04:41:852042,Detected ARTags: ,"[ 47, 48]"
2017-12-05 18:04:41:852248,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 18:04:41:853312,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:04:41:853448,Detected ARTags: ,"[ 47, 48]"
2017-12-05 18:04:41:853936,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 18:04:41:854059,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:04:41:854506,Detected ARTags: ,"[ 47, 48]"
2017-12-05 18:04:41:855690,Current State of Reading: ,Waiting for Red-card
2017-12-05 18:04:41:854754,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 18:04:41:856199,Detected ARTags: ,"[ 47, 48]"
