*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 17:09:22:451301,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:
point
WhichPage:
True
CorrectionState:
False




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-04 17:09:22:451467,Child Name:,test
2017-12-04 17:09:22:452889,Reading speed:,0.06with0.06delay
2017-12-04 17:09:22:460595,On or OFF:,Face Tracking is OFF
2017-12-04 17:09:23:079333,On or OFF:,Face Tracking is ON
2017-12-04 17:09:23:583244,Robot State:,Introduce Nao Started
2017-12-04 17:09:26:084716,Robot State:,Looking at The Book
2017-12-04 17:09:27:752639,Instruction:,\rspd=90\ 
2017-12-04 17:09:28:253338,Robot State:,Introduce Nao Ended
2017-12-04 17:09:28:777452,On or OFF:,Face Tracking is OFF
2017-12-04 17:09:29:794429,Robot State:,Looking at The Book
