*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 17:10:21:676619,Child Name:,test
2017-12-04 17:10:21:676557,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:
point
WhichPage:
True
CorrectionState:
False




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-04 17:10:21:676749,Reading speed:,0.06with0.06delay
2017-12-04 17:10:21:693137,On or OFF:,Face Tracking is OFF
2017-12-04 17:10:22:438601,On or OFF:,Face Tracking is ON
2017-12-04 17:10:22:941985,Robot State:,Introduce Nao Started
2017-12-04 17:10:25:443054,Robot State:,Looking at The Book
2017-12-04 17:10:26:983501,Instruction:,\rspd=90\ 
2017-12-04 17:10:27:484551,Robot State:,Introduce Nao Ended
2017-12-04 17:10:28:063929,On or OFF:,Face Tracking is OFF
2017-12-04 17:10:29:080627,Robot State:,Looking at The Book
2017-12-04 17:10:29:620367,Robot State:,TaskONE Selected
2017-12-04 17:10:30:640454,Robot State:,Looking at The Book
2017-12-04 17:10:31:148340,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:153904,Current State of Reading: ,False
2017-12-04 17:10:31:153838,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:159173,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:159398,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:159695,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:159913,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:160011,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:160449,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:160530,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:160639,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:160736,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:161511,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:161177,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:161772,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:161883,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:162105,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:162304,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:162529,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:162611,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:162724,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:163157,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:163947,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:164136,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:164396,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:165289,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:165969,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:166315,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:167956,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:168174,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:168779,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:169489,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:170600,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:171082,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:171764,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:171934,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:172147,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:172320,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:172879,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:173186,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:173318,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:173644,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:173945,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:174013,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:206821,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:207357,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:207416,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:307161,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:307561,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:307670,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:418047,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:419676,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:419872,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:514754,Detected ARTags: ,"30, 31"
2017-12-04 17:10:31:515956,Detected ARTags: ,"[30, 31]"
2017-12-04 17:10:31:516127,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:10:31:722150,Detected ARTags: ,"30, 31"
