*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 19:38:10:895024,Child Name:,test
2017-11-30 19:38:10:894809,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.05
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 19:38:10:895182,Reading speed:,0.05with0.05delay
2017-11-30 19:38:10:901585,On or OFF:,Face Tracking is OFF
2017-11-30 19:38:11:567535,On or OFF:,Face Tracking is ON
2017-11-30 19:38:12:071835,Robot State:,Introduce Nao Started
2017-11-30 19:38:14:318351,Instruction:,\rspd=90\ 
2017-11-30 19:38:14:819037,Robot State:,Introduce Nao Ended
2017-11-30 19:38:15:049243,On or OFF:,Face Tracking is OFF
2017-11-30 19:38:16:073695,Robot State:,Looking at The Book
2017-11-30 19:38:16:696005,Robot State:,TaskONE Selected
2017-11-30 19:38:17:733294,Robot State:,Looking at The Book
2017-11-30 19:38:18:237187,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:38:18:261756,Current State of Reading: ,False
2017-11-30 19:38:18:262016,Detected ARTags: ,"[61, 62]"
2017-11-30 19:38:18:267543,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:38:18:268769,Detected ARTags: ,"[61, 62]"
2017-11-30 19:38:18:268671,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:38:18:268973,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:38:18:269435,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:38:18:269264,Detected ARTags: ,"[61, 62]"
2017-11-30 19:38:18:270066,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:38:18:270343,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:38:18:270717,Detected ARTags: ,"[61, 62]"
2017-11-30 19:38:18:270991,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:38:18:271355,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:38:18:271519,Detected ARTags: ,"[61, 62]"
2017-11-30 19:38:18:272149,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:38:18:272301,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:38:18:272631,Detected ARTags: ,"[61, 62]"
2017-11-30 19:38:18:273039,Detected ARTags: ,"61, 62, 63, 64"
