*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 17:49:21:447448,Child Name:,Child Name
2017-11-20 17:49:21:451616,On or OFF:,Face Tracking is OFF
2017-11-20 17:49:22:059803,On or OFF:,Face Tracking is ON
2017-11-20 17:49:23:062953,Robot State:,Introduce Nao Started
2017-11-20 17:49:26:564381,Robot State:,Introduce Nao Ended
2017-11-20 17:49:27:103211,On or OFF:,Face Tracking is OFF
2017-11-20 17:49:28:118694,Robot State:,Looking at The Book
2017-11-20 17:49:29:018231,Robot State:,TaskONE Selected
2017-11-20 17:49:30:036341,Robot State:,Looking at The Book
2017-11-20 17:49:30:566934,Current State of Reading: ,False
2017-11-20 17:49:30:576925,Current State of Reading: ,Waiting for Red-card
2017-11-20 17:49:32:132842,Robot State:,Reading Mode Started
2017-11-20 17:49:36:718558,Robot Hand Pose: ,"x: 0.128386586905
y: 0.108498342335
z: 0.152262836695
x: 0.00219169445336
y: 0.892588675022
z: -0.0120429815724
w: 1.0"
2017-11-20 17:49:36:718934,Current Word:,\rspd=70\  HOOT
2017-11-20 17:49:39:398665,Robot Hand Pose: ,"x: 0.134449124336
y: 0.0957681685686
z: 0.155570194125
x: -0.04035410285
y: 0.85985159874
z: -0.0892806723714
w: 1.0"
2017-11-20 17:49:39:399236,Current Word:,\rspd=70\ HOOT		
2017-11-20 17:49:40:379522,Robot Hand Pose: ,"x: 0.136842295527
y: 0.117177046835
z: 0.159479856491
x: 0.050714533776
y: 0.841303825378
z: 0.0616560131311
w: 1.0"
2017-11-20 17:49:40:379839,Current Word:,\rspd=70\  Don't
2017-11-20 17:49:41:599937,Current Word:,\rspd=70\ listen
2017-11-20 17:49:41:599807,Robot Hand Pose: ,"x: 0.136771902442
y: 0.117127209902
z: 0.159534022212
x: 0.0477095395327
y: 0.840931415558
z: 0.0616951994598
w: 1.0"
2017-11-20 17:49:42:840274,Robot Hand Pose: ,"x: 0.137101709843
y: 0.110199294984
z: 0.158885210752
x: 0.0160010866821
y: 0.84227591753
z: 0.013180793263
w: 1.0"
2017-11-20 17:49:42:840660,Current Word:,\rspd=70\ to
2017-11-20 17:49:44:098093,Robot Hand Pose: ,"x: 0.137216806412
y: 0.0979377701879
z: 0.158015042543
x: -0.033508438617
y: 0.842996835709
z: -0.0718050152063
w: 1.0"
2017-11-20 17:49:44:098475,Current Word:,\rspd=70\ that
2017-11-20 17:49:45:339575,Robot Hand Pose: ,"x: 0.137487977743
y: 0.0934066772461
z: 0.158028766513
x: -0.0436422303319
y: 0.840732693672
z: -0.103976659477
w: 1.0"
2017-11-20 17:49:45:340064,Current Word:,\rspd=70\ tiny
2017-11-20 17:49:46:598294,Current Word:,\rspd=70\ little
2017-11-20 17:49:46:598131,Robot Hand Pose: ,"x: 0.137321770191
y: 0.0841079205275
z: 0.158075496554
x: -0.0816655755043
y: 0.836198210716
z: -0.167660877109
w: 1.0"
2017-11-20 17:49:47:860950,Robot Hand Pose: ,"x: 0.137010768056
y: 0.0755598247051
z: 0.158179283142
x: -0.111748218536
y: 0.831557035446
z: -0.226780116558
w: 1.0"
2017-11-20 17:49:47:860786,Current Word:,\rspd=70\  rabbit 			
2017-11-20 17:49:49:179443,Robot Hand Pose: ,"x: 0.13623778522
y: 0.118627175689
z: 0.15968708694
x: 0.0550417676568
y: 0.840703904629
z: 0.0733010992408
w: 1.0"
2017-11-20 17:49:49:180442,Current Word:,\rspd=70\  I am
2017-11-20 17:49:49:793805,Detected Cards: ,RED Card Detected
2017-11-20 17:49:49:823787,Current State of Reading: ,Correcting Mode
2017-11-20 17:49:49:823944,Detected Cards: ,RED Card Detected
2017-11-20 17:49:49:839448,Robot State:,Reaction Mode Started
2017-11-20 17:49:58:215325,Robot State:,Looking at The Book
2017-11-20 17:49:58:752599,Robot State:,Reaction Mode Ended
2017-11-20 17:49:58:986431,Current State of Reading: ,Waiting for Red-card
2017-11-20 17:49:59:216653,Robot State:,Looking at The Book
2017-11-20 17:50:01:265072,Robot State:,Reading Mode Started
2017-11-20 17:50:05:957048,Robot Hand Pose: ,"x: 0.113538004458
y: 0.109099514782
z: 0.142437294126
x: 0.00572928087786
y: 0.974655330181
z: -0.00846868474036
w: 1.0"
2017-11-20 17:50:05:957318,Current Word:,\rspd=70\  HOOT
