*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-29 14:32:22:678295,Child Name:,Child Name
2017-11-29 14:32:22:683261,On or OFF:,Face Tracking is OFF
2017-11-29 14:32:23:327964,On or OFF:,Face Tracking is ON
2017-11-29 14:32:24:330666,Robot State:,Introduce Nao Started
2017-11-29 14:32:27:814777,Robot State:,Introduce Nao Ended
2017-11-29 14:32:28:341956,On or OFF:,Face Tracking is OFF
2017-11-29 14:32:29:352226,Robot State:,Looking at The Book
2017-11-29 14:32:29:968479,Robot State:,TaskONE Selected
2017-11-29 14:32:30:993143,Robot State:,Looking at The Book
2017-11-29 14:32:31:498730,Detected ARTags: ,"32, 33"
2017-11-29 14:32:31:514358,Current State of Reading: ,False
2017-11-29 14:32:31:514691,Detected ARTags: ,"[32, 33]"
2017-11-29 14:32:31:525256,Detected ARTags: ,"32, 33"
2017-11-29 14:32:31:525922,Current State of Reading: ,Waiting for Red-card
2017-11-29 14:32:31:525836,Detected ARTags: ,"[32, 33]"
2017-11-29 14:32:31:526451,Detected ARTags: ,"32, 33"
2017-11-29 14:32:31:526766,Current State of Reading: ,Waiting for Red-card
2017-11-29 14:32:31:526868,Detected ARTags: ,"[32, 33]"
2017-11-29 14:32:31:527385,Detected ARTags: ,"32, 33"
2017-11-29 14:32:31:528506,Detected ARTags: ,"[32, 33]"
2017-11-29 14:32:31:528641,Current State of Reading: ,Waiting for Red-card
2017-11-29 14:32:31:529154,Detected ARTags: ,"32, 33"
2017-11-29 14:32:31:529409,Current State of Reading: ,Waiting for Red-card
2017-11-29 14:32:31:529467,Detected ARTags: ,"[32, 33]"
2017-11-29 14:32:31:529870,Detected ARTags: ,"32, 33"
2017-11-29 14:32:31:530160,Detected ARTags: ,"[32, 33]"
2017-11-29 14:32:31:530983,Current State of Reading: ,Waiting for Red-card
2017-11-29 14:32:31:531064,Detected ARTags: ,"32, 33"
2017-11-29 14:32:31:532008,Detected ARTags: ,"[32, 33]"
