*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-29 15:37:15:595631,Child Name:,1
2017-11-29 15:37:15:595772,Reading speed:,GabrielwithGabrieldelay
2017-11-29 15:37:15:600549,On or OFF:,Face Tracking is OFF
2017-11-29 15:37:16:217223,On or OFF:,Face Tracking is ON
