*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-28 20:42:33:238687,Child Name:,Child Name
2017-11-28 20:42:33:246889,On or OFF:,Face Tracking is OFF
2017-11-28 20:42:33:972864,On or OFF:,Face Tracking is ON
2017-11-28 20:42:34:975568,Robot State:,Introduce Nao Started
2017-11-28 20:42:38:052843,Robot State:,Introduce Nao Ended
2017-11-28 20:42:38:571367,On or OFF:,Face Tracking is OFF
2017-11-28 20:42:39:585741,Robot State:,Looking at The Book
2017-11-28 20:42:40:181701,Robot State:,TaskONE Selected
2017-11-28 20:42:41:205978,Robot State:,Looking at The Book
2017-11-28 20:42:41:710146,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:725091,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:725612,Current State of Reading: ,False
2017-11-28 20:42:41:738025,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:739617,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:739322,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:740083,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:740449,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:740979,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:741123,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:742816,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:743312,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:744788,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:744640,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:745113,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:745636,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:745873,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:746103,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:746210,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:746760,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:746932,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:747176,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:747596,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:747904,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:747829,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:748888,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:749036,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:749204,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:749748,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:749955,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:750069,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:750670,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:750765,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:750883,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:751266,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:751389,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:751608,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:752097,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:752285,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:752647,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:753070,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:753014,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:784385,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:784597,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:784824,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:881387,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:881997,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:882084,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:41:990103,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:41:991448,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:41:991346,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:42:081406,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:42:081673,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:42:081876,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:42:182139,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:42:182736,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:42:182879,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:42:297973,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:42:298706,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:42:298821,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:42:398001,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:42:399379,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:42:399973,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:42:480960,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:42:481534,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:42:481644,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:42:581126,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:42:581727,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:42:581849,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:42:681449,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:42:681717,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:42:682244,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:42:796050,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:42:796852,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:42:797255,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:42:884327,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:42:885239,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:42:885433,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:42:981098,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:42:981815,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:42:981915,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:43:105127,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:43:105375,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:43:192463,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:43:193191,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:43:193489,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:43:284286,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:43:284917,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:43:284986,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:43:315381,Robot State:,Reading Mode Started
2017-11-28 20:42:43:315528,Current State of Correction: ,False
2017-11-28 20:42:43:380841,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:43:381068,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:43:381206,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:43:481118,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:43:481370,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:43:481487,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:43:580709,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:43:581175,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:43:581260,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:43:688748,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:43:689735,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:43:689951,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:43:781940,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:43:782200,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:43:782349,Current State of Reading: ,Waiting for Red-card
2017-11-28 20:42:43:889136,Detected ARTags: ,"57, 58, 59, 60"
2017-11-28 20:42:43:889979,Detected ARTags: ,"[57, 58]"
2017-11-28 20:42:43:891139,Current State of Reading: ,Waiting for Red-card
