*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-27 14:14:38:073307,Child Name:,Child Name
2017-11-27 14:14:38:088766,On or OFF:,Face Tracking is OFF
2017-11-27 14:14:38:454457,On or OFF:,Face Tracking is ON
2017-11-27 14:14:39:458605,Robot State:,Introduce Nao Started
2017-11-27 14:14:44:209719,Robot State:,Introduce Nao Ended
2017-11-27 14:14:44:469672,On or OFF:,Face Tracking is OFF
2017-11-27 14:14:45:496520,Robot State:,Looking at The Book
2017-11-27 14:14:46:144900,Robot State:,TaskONE Selected
2017-11-27 14:14:47:155182,Robot State:,Looking at The Book
2017-11-27 14:14:47:674328,Current State of Reading: ,False
2017-11-27 14:14:47:678836,Current State of Reading: ,Waiting for Red-card
2017-11-27 14:14:49:253286,Robot State:,Reading Mode Started
2017-11-27 14:14:53:820708,Robot Hand Pose: ,"x: 0.205084145069
y: 0.066732801497
z: 0.249596610665
x: 0.00925182364881
y: 0.313897162676
z: -0.214316934347
w: 1.0"
2017-11-27 14:14:53:821353,Current Word:,\rspd=70\  POOF!		
2017-11-27 14:14:54:302453,Current Word:,\rspd=70\  That
2017-11-27 14:14:54:302795,Robot Hand Pose: ,"x: 0.205071270466
y: 0.0667031779885
z: 0.249611049891
x: 0.0136123020202
y: 0.313855290413
z: -0.214635968208
w: 1.0"
2017-11-27 14:14:54:758797,Robot Hand Pose: ,"x: 0.204901397228
y: 0.0658250823617
z: 0.249636337161
x: 0.0122536141425
y: 0.313625216484
z: -0.219202965498
w: 1.0"
2017-11-27 14:14:54:759446,Current Word:,\rspd=70\ goofy
2017-11-27 14:14:55:199400,Robot Hand Pose: ,"x: 0.204958826303
y: 0.0657254904509
z: 0.249628812075
x: 0.012587076053
y: 0.31377056241
z: -0.219155713916
w: 1.0"
2017-11-27 14:14:55:199845,Current Word:,\rspd=70\  giraffe
2017-11-27 14:14:55:638923,Current Word:,\rspd=70\ was
2017-11-27 14:14:55:638555,Robot Hand Pose: ,"x: 0.204798132181
y: 0.0658682286739
z: 0.249336570501
x: 0.0117142060772
y: 0.314995408058
z: -0.21939304471
w: 1.0"
2017-11-27 14:14:56:100797,Robot Hand Pose: ,"x: 0.203269958496
y: 0.0656170621514
z: 0.245627462864
x: 0.010212152265
y: 0.332951754332
z: -0.22183136642
w: 1.0"
2017-11-27 14:14:56:101123,Current Word:,\rspd=70\ gone
2017-11-27 14:14:56:560070,Robot Hand Pose: ,"x: 0.203272789717
y: 0.0656967908144
z: 0.245628654957
x: 0.0114931548014
y: 0.332856357098
z: -0.221923097968
w: 1.0"
2017-11-27 14:14:56:560434,Current Word:,\rspd=70\ in
2017-11-27 14:14:57:004770,Robot Hand Pose: ,"x: 0.203240662813
y: 0.065370336175
z: 0.245633780956
x: 0.0125426622108
y: 0.332797020674
z: -0.223528638482
w: 1.0"
2017-11-27 14:14:57:005027,Current Word:,\rspd=70\ a		
2017-11-27 14:14:57:357930,Robot Hand Pose: ,"x: 0.201696485281
y: 0.0653130114079
z: 0.241948992014
x: 0.0114699369296
y: 0.350814253092
z: -0.224621757865
w: 1.0"
2017-11-27 14:14:57:358193,Current Word:,\rspd=70\  snippety  snap
2017-11-27 14:14:57:803965,Robot Hand Pose: ,"x: 0.200016394258
y: 0.0653075799346
z: 0.238302066922
x: 0.00915013346821
y: 0.368508070707
z: -0.227329745889
w: 1.0"
2017-11-27 14:14:57:805031,Current Word:,\rspd=70\ Danger
2017-11-27 14:14:58:241154,Robot Hand Pose: ,"x: 0.200017154217
y: 0.0652671009302
z: 0.238301038742
x: 0.00947199761868
y: 0.368629485369
z: -0.227204099298
w: 1.0"
2017-11-27 14:14:58:241099,Current Word:,\rspd=70\ is
2017-11-27 14:14:58:702307,Robot Hand Pose: ,"x: 0.198129549623
y: 0.0649210512638
z: 0.234406799078
x: 0.00713452836499
y: 0.387845993042
z: -0.230300605297
w: 1.0"
2017-11-27 14:14:58:702558,Current Word:,\rspd=70\ my
2017-11-27 14:14:59:160023,Current Word:,\rspd=70\ middle
2017-11-27 14:14:59:159570,Robot Hand Pose: ,"x: 0.197844475508
y: 0.0650364384055
z: 0.234311163425
x: 0.0102819018066
y: 0.388334900141
z: -0.230142578483
w: 1.0"
2017-11-27 14:14:59:599269,Current Word:,\rspd=70\ name 		
2017-11-27 14:14:59:599355,Robot Hand Pose: ,"x: 0.197900831699
y: 0.0651037991047
z: 0.234370321035
x: 0.0149818453938
y: 0.388035565615
z: -0.230061456561
w: 1.0"
2017-11-27 14:14:59:958306,Robot Hand Pose: ,"x: 0.19607026875
y: 0.0642793551087
z: 0.230750948191
x: 0.00961346831173
y: 0.405818849802
z: -0.236488372087
w: 1.0"
2017-11-27 14:14:59:958616,Current Word:,\rspd=70\  and
2017-11-27 14:15:00:398548,Current Word:,\rspd=70\ I am
2017-11-27 14:15:00:398748,Robot Hand Pose: ,"x: 0.193765848875
y: 0.0644404664636
z: 0.226371884346
x: 0.0131814945489
y: 0.427946716547
z: -0.238258987665
w: 1.0"
2017-11-27 14:15:00:876720,Robot Hand Pose: ,"x: 0.193768948317
y: 0.0645178109407
z: 0.22637334466
x: 0.0144435632974
y: 0.427841126919
z: -0.238381028175
w: 1.0"
2017-11-27 14:15:00:877161,Current Word:,\rspd=70\ the
2017-11-27 14:15:01:318942,Robot Hand Pose: ,"x: 0.193108350039
y: 0.0643350407481
z: 0.225197806954
x: 0.0132623529062
y: 0.433958381414
z: -0.238819181919
w: 1.0"
2017-11-27 14:15:01:318494,Current Word:,\rspd=70\  funniest
2017-11-27 14:15:01:760507,Robot Hand Pose: ,"x: 0.191386029124
y: 0.0644584447145
z: 0.221989199519
x: 0.0134341660887
y: 0.450344115496
z: -0.240347027779
w: 1.0"
2017-11-27 14:15:01:760876,Current Word:,\rspd=70\ animal
2017-11-27 14:15:02:199155,Robot Hand Pose: ,"x: 0.19133529067
y: 0.0643553361297
z: 0.222000896931
x: 0.0138738080859
y: 0.450081735849
z: -0.242033809423
w: 1.0"
2017-11-27 14:15:02:199738,Current Word:,\rspd=70\ around here.
2017-11-27 14:15:03:617042,Robot State:,Looking at The Book
2017-11-27 14:15:07:414912,Robot State:,Looking at The Book
