*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-29 16:01:46:226046,Instruction:,"NumberOfStart:
2
ChildName:
Gabriel
HandMoveSpeed:
0.08
ReadDelay:
0.06
ReadSpeed:
80
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1

Medium Level:

High Level:"
2017-11-29 16:01:46:226440,Child Name:,Gabriel
2017-11-29 16:01:46:226620,Reading speed:,0.08with0.08delay
2017-11-29 16:01:46:232777,On or OFF:,Face Tracking is OFF
2017-11-29 16:01:46:869907,On or OFF:,Face Tracking is ON
2017-11-29 16:01:47:373385,Robot State:,Introduce Nao Started
2017-11-29 16:01:48:880410,Instruction:,\rspd=90\ 
2017-11-29 16:01:49:381411,Robot State:,Introduce Nao Ended
2017-11-29 16:01:49:879442,On or OFF:,Face Tracking is OFF
2017-11-29 16:01:50:904210,Robot State:,Looking at The Book
2017-11-29 16:01:51:568612,Robot State:,TaskONE Selected
2017-11-29 16:01:52:585510,Robot State:,Looking at The Book
2017-11-29 16:01:53:101568,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:126036,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:127425,Current State of Reading: ,False
2017-11-29 16:01:53:134932,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:134360,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:135868,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:136038,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:136606,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:137258,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:137063,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:137427,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:137623,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:139256,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:139652,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:140457,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:141274,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:141486,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:141815,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:142120,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:142316,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:142445,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:142698,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:142818,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:143305,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:143653,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:143842,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:144030,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:144496,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:144680,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:145117,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:145491,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:145430,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:146065,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:146226,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:146288,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:146683,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:147039,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:147187,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:147643,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:148406,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:148533,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:148732,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:148908,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:148999,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:169967,Detected ARTags: ,"32, 33"
2017-11-29 16:01:53:170138,Detected ARTags: ,"[32, 33]"
2017-11-29 16:01:53:170548,Current State of Reading: ,Waiting for Red-card
2017-11-29 16:01:53:269460,Detected ARTags: ,"32, 33"
