*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 11:51:20:499231,Child Name:,Child Name
2017-11-20 11:51:20:511948,On or OFF:,Face Tracking is OFF
2017-11-20 11:51:21:292319,On or OFF:,Face Tracking is ON
2017-11-20 11:51:22:295991,Robot State:,Introduce Nao Started
2017-11-20 11:51:39:072053,Robot State:,Introduce Nao Ended
2017-11-20 11:51:39:570539,On or OFF:,Face Tracking is OFF
2017-11-20 11:51:40:595468,Robot State:,Looking at The Book
2017-11-20 11:51:41:157758,Robot State:,TaskONE Selected
2017-11-20 11:51:42:175265,Robot State:,Looking at The Book
2017-11-20 11:51:44:294634,Robot State:,Reading Mode Started
2017-11-20 11:51:45:520832,Position: ,"x: 0.0966642722487
y: 0.0849026665092
z: 0.167106211185
x: -1.00375068188
y: 0.582992076874
z: -0.457671046257
w: 1.0"
2017-11-20 11:51:45:521354,Current Word:,\rspd=70\  HOOT
2017-11-20 11:51:47:499625,Position: ,"x: 0.100226692855
y: 0.064064309001
z: 0.175208345056
x: -1.08577907085
y: 0.47480225563
z: -0.564909338951
w: 1.0"
2017-11-20 11:51:47:500247,Current Word:,\rspd=70\ HOOT		
2017-11-20 11:51:48:141051,Current Word:,\rspd=70\  Don't
2017-11-20 11:51:48:141532,Position: ,"x: 0.100111782551
y: 0.0640756040812
z: 0.175208479166
x: -1.08577024937
y: 0.474808901548
z: -0.564846456051
w: 1.0"
2017-11-20 11:51:50:099774,Position: ,"x: 0.100233964622
y: 0.0640551671386
z: 0.175206005573
x: -1.08575415611
y: 0.474865794182
z: -0.564896762371
w: 1.0"
2017-11-20 11:51:50:100935,Current Word:,\rspd=70\ listen
2017-11-20 11:51:52:058411,Position: ,"x: 0.100169986486
y: 0.0641204714775
z: 0.175176888704
x: -1.08618164062
y: 0.474914759398
z: -0.565035521984
w: 1.0"
2017-11-20 11:51:52:059148,Current Word:,\rspd=70\ to
2017-11-20 11:51:54:021189,Position: ,"x: 0.100113734603
y: 0.0641182735562
z: 0.175205618143
x: -1.0859798193
y: 0.474645972252
z: -0.564951300621
w: 1.0"
2017-11-20 11:51:54:021956,Current Word:,\rspd=70\ that
2017-11-20 11:51:55:980154,Current Word:,\rspd=70\ tiny
2017-11-20 11:51:55:980458,Position: ,"x: 0.100228264928
y: 0.0640540495515
z: 0.17520904541
x: -1.08572888374
y: 0.474841296673
z: -0.56488597393
w: 1.0"
2017-11-20 11:51:57:939557,Current Word:,\rspd=70\ little
2017-11-20 11:51:57:939733,Position: ,"x: 0.100217103958
y: 0.0641931444407
z: 0.175251752138
x: -1.08599841595
y: 0.474279433489
z: -0.563486933708
w: 1.0"
2017-11-20 11:51:59:899267,Position: ,"x: 0.100129216909
y: 0.0640946924686
z: 0.175196915865
x: -1.085932374
y: 0.474835932255
z: -0.564918458462
w: 1.0"
2017-11-20 11:51:59:899805,Current Word:,\rspd=70\  rabbit 			
2017-11-20 11:52:00:553365,Position: ,"x: 0.100130312145
y: 0.0640799403191
z: 0.175198450685
x: -1.08585631847
y: 0.47488629818
z: -0.564883232117
w: 1.0"
2017-11-20 11:52:00:554492,Current Word:,\rspd=70\  I am
2017-11-20 11:52:02:518489,Position: ,"x: 0.100225813687
y: 0.0640698522329
z: 0.175208002329
x: -1.08580577374
y: 0.474781006575
z: -0.564921915531
w: 1.0"
2017-11-20 11:52:02:518897,Current Word:,\rspd=70\ the
2017-11-20 11:52:04:498780,Current Word:,\rspd=70\ wisest
2017-11-20 11:52:04:498974,Position: ,"x: 0.10021853447
y: 0.0641898810863
z: 0.175247877836
x: -1.08616316319
y: 0.474177777767
z: -0.56356304884
w: 1.0"
2017-11-20 11:52:06:486158,Position: ,"x: 0.100125111639
y: 0.0641323179007
z: 0.175191700459
x: -1.08612143993
y: 0.474700927734
z: -0.565006434917
w: 1.0"
2017-11-20 11:52:06:488582,Current Word:,\rspd=70\ and
2017-11-20 11:52:08:457274,Position: ,"x: 0.100219935179
y: 0.0640906840563
z: 0.175204381347
x: -1.0860761404
y: 0.474569618702
z: -0.565047860146
w: 1.0"
2017-11-20 11:52:08:457929,Current Word:,\rspd=70\ bravest
2017-11-20 11:52:10:421778,Position: ,"x: 0.100101217628
y: 0.064126521349
z: 0.175202906132
x: -1.08618712425
y: 0.47448271513
z: -0.565040767193
w: 1.0"
2017-11-20 11:52:10:422409,Current Word:,\rspd=70\  snake
2017-11-20 11:52:12:400444,Position: ,"x: 0.100224629045
y: 0.0640837103128
z: 0.17520660162
x: -1.08587670326
y: 0.474732965231
z: -0.56495475769
w: 1.0"
2017-11-20 11:52:12:401404,Current Word:,\rspd=70\ in
2017-11-20 11:52:14:359127,Position: ,"x: 0.100227028131
y: 0.0640813559294
z: 0.175205722451
x: -1.0858720541
y: 0.474751889706
z: -0.564952135086
w: 1.0"
2017-11-20 11:52:14:359622,Current Word:,\rspd=70\ the
2017-11-20 11:52:16:319574,Position: ,"x: 0.100225932896
y: 0.0640937238932
z: 0.175204217434
x: -1.08593511581
y: 0.474708616734
z: -0.564981520176
w: 1.0"
2017-11-20 11:52:16:320249,Current Word:,\rspd=70\ skies.
2017-11-20 11:52:17:733822,Robot State:,Looking at The Book
2017-11-20 11:52:20:655962,Robot State:,Looking at The Book
