*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-05 16:56:00:428130,Child Name:,test
2017-12-05 16:56:00:428340,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:

WhichPage:
Right
CorrectionState: Default=False
False




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-05 16:56:00:428439,Reading speed:,0.06with0.06delay
2017-12-05 16:56:00:432590,On or OFF:,Face Tracking is OFF
2017-12-05 16:56:01:080043,On or OFF:,Face Tracking is ON
2017-12-05 16:56:01:583394,Robot State:,Introduce Nao Started
2017-12-05 16:56:03:823382,Robot State:,Looking at The Book
2017-12-05 16:56:05:354030,Instruction:,\rspd=90\ 
2017-12-05 16:56:05:854664,Robot State:,Introduce Nao Ended
2017-12-05 16:56:06:400823,On or OFF:,Face Tracking is OFF
2017-12-05 16:56:07:423695,Robot State:,Looking at The Book
2017-12-05 16:56:07:944326,Robot State:,TaskONE Selected
2017-12-05 16:56:08:967385,Robot State:,Looking at The Book
2017-12-05 16:56:09:475818,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:481842,Current State of Reading: ,False
2017-12-05 16:56:09:481971,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:487421,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:487647,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:487795,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:488399,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:488771,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:488903,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:488852,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:489081,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:489416,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:489379,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:489914,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:489996,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:490138,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:490316,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:490698,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:490861,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:491187,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:491095,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:491275,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:491425,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:491616,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:491586,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:492015,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:492086,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:492397,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:492574,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:492679,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:492901,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:493072,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:493228,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:493287,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:493797,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:493733,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:494059,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:494297,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:494337,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:494695,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:494873,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:494836,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:526359,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:526547,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:526634,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:631735,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:632578,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:632491,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:740545,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:742268,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:742642,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:836868,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:837608,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:09:837939,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:935701,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:09:936360,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:09:936455,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:10:031004,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:10:031535,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:10:031670,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:10:139383,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:10:140802,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:10:142510,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:10:226756,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:10:227076,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:10:227159,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:10:326435,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:10:326640,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:10:326570,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:10:426094,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:10:426533,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:10:426615,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:10:544953,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:10:545481,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:10:545538,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:10:641545,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:10:642045,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:10:642145,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:10:735071,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:10:735343,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:10:735404,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:10:841959,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:10:842751,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:10:842966,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:10:944501,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:10:944904,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:10:945008,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:11:130248,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:11:130373,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:11:241084,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:11:242830,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:11:243296,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:11:330700,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:11:330983,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:11:331074,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:11:432578,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:11:433288,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:11:433422,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:11:537339,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:11:538630,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:11:538756,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:11:643038,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:11:643923,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:11:644142,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:11:740694,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:11:741847,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:11:741775,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:11:835176,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:11:835851,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:11:836073,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:11:929703,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:11:930274,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:11:930409,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:12:042658,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:12:043269,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:12:043446,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:12:125813,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:12:126339,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:12:126396,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:12:226409,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:12:226601,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:12:226737,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:12:325862,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:12:326426,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:12:326549,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:12:441968,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:12:442636,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:12:442830,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:12:533442,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:12:533861,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:12:534174,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:12:636753,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:12:637788,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:12:638149,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:12:736536,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:12:736963,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:12:737149,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:12:836368,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:12:836782,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:12:836861,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:12:926299,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:12:926878,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:12:926996,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:13:043272,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:13:044123,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:13:044266,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:13:130240,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:13:130511,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:13:130613,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:13:229914,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:13:230153,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:13:230264,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:13:326159,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:13:326444,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:13:326403,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:13:442927,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:13:445175,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:13:444966,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:13:540030,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:13:540778,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:13:540950,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:13:641540,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:13:643669,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:13:644016,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:13:732066,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:13:732945,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:13:733087,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:13:840525,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:13:841661,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:13:841835,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:13:929701,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:13:930044,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:13:930171,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:14:041599,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:14:042800,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:14:042889,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:14:126173,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:14:126241,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:14:126353,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:14:226350,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:14:226857,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:14:226785,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:14:325802,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:14:326195,Detected ARTags: ,"[ 47, 48]"
2017-12-05 16:56:14:326298,Current State of Reading: ,Waiting for Red-card
2017-12-05 16:56:14:441916,Detected ARTags: ,"45, 46, 47, 48"
2017-12-05 16:56:14:442520,Current State of Reading: ,Waiting for Red-card
